Region Code,TEA Region,County Number,County Name,sy_end,demo_cat_type,economic_status,enrolled_8th,graduated,total_enrolled,total_degrees,graduated_percent,total_enrolled_percent,total_degrees_percent
6,HUNTSVILLE,198,ROBERTSON,2013,econ_status,Economically Disadvantaged,76,55,22,10,72%,28%,13%
6,HUNTSVILLE,198,ROBERTSON,2013,econ_status,Not Economically Disadvantaged,89,81,63,42,91%,70%,47%
6,HUNTSVILLE,204,SAN JACINTO,2013,econ_status,Economically Disadvantaged,85,61,21,7,71%,24%,8%
6,HUNTSVILLE,204,SAN JACINTO,2013,econ_status,Not Economically Disadvantaged,49,42,19,6,85%,38%,12%
6,HUNTSVILLE,228,TRINITY,2013,econ_status,Economically Disadvantaged,30,23,14,6,76%,46%,20%
6,HUNTSVILLE,228,TRINITY,2013,econ_status,Not Economically Disadvantaged,31,27,17,16,87%,54%,51%
6,HUNTSVILLE,236,WALKER,2013,econ_status,Economically Disadvantaged,229,187,104,32,81%,45%,13%
6,HUNTSVILLE,236,WALKER,2013,econ_status,Not Economically Disadvantaged,217,193,123,57,88%,56%,26%
6,HUNTSVILLE,239,WASHINGTON,2013,econ_status,Economically Disadvantaged,177,130,62,24,73%,35%,13%
6,HUNTSVILLE,239,WASHINGTON,2013,econ_status,Not Economically Disadvantaged,177,161,142,97,90%,80%,54%
7,KILGORE,1,ANDERSON,2013,econ_status,Economically Disadvantaged,265,212,103,48,80%,38%,18%
7,KILGORE,1,ANDERSON,2013,econ_status,Not Economically Disadvantaged,278,233,169,87,83%,60%,31%
7,KILGORE,3,ANGELINA,2013,econ_status,Economically Disadvantaged,773,634,377,124,82%,48%,16%
7,KILGORE,3,ANGELINA,2013,econ_status,Not Economically Disadvantaged,469,440,341,192,93%,72%,40%
7,KILGORE,37,CHEROKEE,2013,econ_status,Economically Disadvantaged,451,340,161,75,75%,35%,16%
7,KILGORE,37,CHEROKEE,2013,econ_status,Not Economically Disadvantaged,163,141,111,67,86%,68%,41%
7,KILGORE,92,GREGG,2013,econ_status,Economically Disadvantaged,952,737,370,145,77%,38%,15%
7,KILGORE,92,GREGG,2013,econ_status,Not Economically Disadvantaged,753,665,488,266,88%,64%,35%
7,KILGORE,102,HARRISON,2013,econ_status,Economically Disadvantaged,440,338,170,57,76%,38%,12%
7,KILGORE,102,HARRISON,2013,econ_status,Not Economically Disadvantaged,466,406,279,150,87%,59%,32%
7,KILGORE,107,HENDERSON,2013,econ_status,Economically Disadvantaged,446,333,148,71,74%,33%,15%
7,KILGORE,107,HENDERSON,2013,econ_status,Not Economically Disadvantaged,333,287,217,121,86%,65%,36%
7,KILGORE,174,NACOGDOCHES,2013,econ_status,Economically Disadvantaged,432,319,174,63,73%,40%,14%
7,KILGORE,174,NACOGDOCHES,2013,econ_status,Not Economically Disadvantaged,284,247,200,122,86%,70%,42%
7,KILGORE,183,PANOLA,2013,econ_status,Economically Disadvantaged,90,76,48,14,84%,53%,15%
7,KILGORE,183,PANOLA,2013,econ_status,Not Economically Disadvantaged,154,141,105,67,91%,68%,43%
7,KILGORE,190,RAINS,2013,econ_status,Economically Disadvantaged,77,50,26,6,64%,33%,7%
7,KILGORE,190,RAINS,2013,econ_status,Not Economically Disadvantaged,58,51,36,17,87%,62%,29%
7,KILGORE,201,RUSK,2013,econ_status,Economically Disadvantaged,265,218,120,49,82%,45%,18%
7,KILGORE,201,RUSK,2013,econ_status,Not Economically Disadvantaged,232,199,153,92,85%,65%,39%
7,KILGORE,202,SABINE,2013,econ_status,Economically Disadvantaged,54,44,29,15,81%,53%,27%
7,KILGORE,202,SABINE,2013,econ_status,Not Economically Disadvantaged,26,21,19,8,80%,73%,30%
7,KILGORE,203,SAN AUGUSTINE,2013,econ_status,Economically Disadvantaged,79,64,29,12,81%,36%,15%
7,KILGORE,210,SHELBY,2013,econ_status,Economically Disadvantaged,250,203,107,52,81%,42%,20%
7,KILGORE,210,SHELBY,2013,econ_status,Not Economically Disadvantaged,114,105,73,48,92%,64%,42%
7,KILGORE,212,SMITH,2013,econ_status,Economically Disadvantaged,1504,1117,659,252,74%,43%,16%
7,KILGORE,212,SMITH,2013,econ_status,Not Economically Disadvantaged,1039,875,675,406,84%,64%,39%
7,KILGORE,230,UPSHUR,2013,econ_status,Economically Disadvantaged,199,146,83,30,73%,41%,15%
7,KILGORE,230,UPSHUR,2013,econ_status,Not Economically Disadvantaged,223,197,137,68,88%,61%,30%
7,KILGORE,234,VAN ZANDT,2013,econ_status,Economically Disadvantaged,147,119,65,25,80%,44%,17%
7,KILGORE,234,VAN ZANDT,2013,econ_status,Not Economically Disadvantaged,188,168,124,60,89%,65%,31%
7,KILGORE,250,WOOD,2013,econ_status,Economically Disadvantaged,215,162,80,38,75%,37%,17%
7,KILGORE,250,WOOD,2013,econ_status,Not Economically Disadvantaged,183,170,119,65,92%,65%,35%
8,MT PLEASANT,19,BOWIE,2013,econ_status,Economically Disadvantaged,681,491,253,93,72%,37%,13%
8,MT PLEASANT,19,BOWIE,2013,econ_status,Not Economically Disadvantaged,623,530,347,203,85%,55%,32%
8,MT PLEASANT,32,CAMP,2013,econ_status,Economically Disadvantaged,167,140,72,24,83%,43%,14%
8,MT PLEASANT,32,CAMP,2013,econ_status,Not Economically Disadvantaged,45,40,33,21,88%,73%,46%
8,MT PLEASANT,34,CASS,2013,econ_status,Economically Disadvantaged,212,159,83,37,75%,39%,17%
8,MT PLEASANT,34,CASS,2013,econ_status,Not Economically Disadvantaged,155,137,95,51,88%,61%,32%
8,MT PLEASANT,60,DELTA,2013,econ_status,Economically Disadvantaged,37,31,18,7,83%,48%,18%
8,MT PLEASANT,60,DELTA,2013,econ_status,Not Economically Disadvantaged,20,18,17,11,90%,85%,55%
8,MT PLEASANT,80,FRANKLIN,2013,econ_status,Economically Disadvantaged,62,53,32,13,85%,51%,20%
8,MT PLEASANT,80,FRANKLIN,2013,econ_status,Not Economically Disadvantaged,48,44,34,20,91%,70%,41%
8,MT PLEASANT,112,HOPKINS,2013,econ_status,Economically Disadvantaged,169,136,65,25,80%,38%,14%
8,MT PLEASANT,112,HOPKINS,2013,econ_status,Not Economically Disadvantaged,174,156,119,69,89%,68%,39%
8,MT PLEASANT,139,LAMAR,2013,econ_status,Economically Disadvantaged,343,265,151,56,77%,44%,16%
8,MT PLEASANT,139,LAMAR,2013,econ_status,Not Economically Disadvantaged,289,263,203,124,91%,70%,42%
8,MT PLEASANT,155,MARION,2013,econ_status,Economically Disadvantaged,72,58,25,9,80%,34%,12%
8,MT PLEASANT,155,MARION,2013,econ_status,Not Economically Disadvantaged,32,27,23,13,84%,71%,40%
8,MT PLEASANT,172,MORRIS,2013,econ_status,Economically Disadvantaged,119,102,49,13,85%,41%,10%
8,MT PLEASANT,172,MORRIS,2013,econ_status,Not Economically Disadvantaged,48,43,37,25,89%,77%,52%
8,MT PLEASANT,194,RED RIVER,2013,econ_status,Economically Disadvantaged,74,60,33,14,81%,44%,18%
8,MT PLEASANT,194,RED RIVER,2013,econ_status,Not Economically Disadvantaged,28,27,22,12,96%,78%,42%
8,MT PLEASANT,225,TITUS,2013,econ_status,Economically Disadvantaged,287,244,140,63,85%,48%,21%
8,MT PLEASANT,225,TITUS,2013,econ_status,Not Economically Disadvantaged,128,116,93,57,90%,72%,44%
9,WICHITA FALLS,5,ARCHER,2013,econ_status,Not Economically Disadvantaged,114,110,77,51,96%,67%,44%
9,WICHITA FALLS,12,BAYLOR,2013,econ_status,Economically Disadvantaged,24,17,10,5,70%,41%,20%
9,WICHITA FALLS,12,BAYLOR,2013,econ_status,Not Economically Disadvantaged,30,29,25,12,96%,83%,40%
9,WICHITA FALLS,39,CLAY,2013,econ_status,Not Economically Disadvantaged,60,57,42,25,95%,70%,41%
9,WICHITA FALLS,99,HARDEMAN,2013,econ_status,Economically Disadvantaged,30,24,13,8,80%,43%,26%
9,WICHITA FALLS,99,HARDEMAN,2013,econ_status,Not Economically Disadvantaged,9,8,7,6,88%,77%,66%
9,WICHITA FALLS,119,JACK,2013,econ_status,Not Economically Disadvantaged,53,46,35,14,86%,66%,26%
9,WICHITA FALLS,138,KNOX,2013,econ_status,Economically Disadvantaged,44,40,24,14,90%,54%,31%
9,WICHITA FALLS,138,KNOX,2013,econ_status,Not Economically Disadvantaged,8,8,8,5,100%,100%,62%
9,WICHITA FALLS,169,MONTAGUE,2013,econ_status,Economically Disadvantaged,33,27,13,8,81%,39%,24%
9,WICHITA FALLS,169,MONTAGUE,2013,econ_status,Not Economically Disadvantaged,118,102,74,51,86%,62%,43%
9,WICHITA FALLS,243,WICHITA,2013,econ_status,Economically Disadvantaged,768,616,284,106,80%,36%,13%
9,WICHITA FALLS,243,WICHITA,2013,econ_status,Not Economically Disadvantaged,713,591,380,208,82%,53%,29%
