sy_end,Region Code,TEA Region,County Number,County Name,district_id,district_name,demo_cat_type,enrolled_8th,graduated,total_enrolled,total_degrees,has_any_masked,gender,economic_status,ethnicity,graduated_percent,total_enrolled_percent,total_degrees_percent
2013,10.0,RICHARDSON,,,,,econ_status,29868,23844,12709,4565,,,Economically Disadvantaged,,79.83125753314584%,42.55055577875987%,15.283915896611758%
2013,10.0,RICHARDSON,,,,,gender,27684,22331,12941,5507,,Male,,,80.66392139864182%,46.74541251264268%,19.89235659586765%
2013,11.0,FORT WORTH,,,,,ethnicity,5769,4571,2987,1015,,,,African American,79.23383602010747%,51.776737736176116%,17.594037094817125%
2013,11.0,FORT WORTH,,,,,econ_status,21784,19059,13445,7326,,,Not Economically Disadvantaged,,87.49081894968785%,61.719610723466765%,33.63018729342637%
2013,11.0,FORT WORTH,,,,,ethnicity,2832,2438,1741,1135,,,,Others,86.08757062146893%,61.475988700564976%,40.07768361581921%
2013,11.0,FORT WORTH,,,,,ethnicity,18909,15856,10600,5640,,,,White,83.85424929927548%,56.057961817124124%,29.827066476281132%
2013,11.0,FORT WORTH,,,,,gender,20164,17100,11420,6034,,Female,,,84.80460226145607%,56.635588176949014%,29.92461813132315%
2013,11.0,FORT WORTH,,,,,ethnicity,12929,10592,5500,2278,,,,Hispanic,81.92435609869287%,42.5400262974708%,17.619305437388817%
2013,11.0,FORT WORTH,,,,,econ_status,18982,14671,7582,2829,,,Economically Disadvantaged,,77.28901064166051%,39.94310399325677%,14.90359287746286%
2013,11.0,FORT WORTH,,,,,gender,20805,16784,9662,4132,,Male,,,80.67291516462389%,46.44075943282865%,19.86061043018505%
2013,11.0,FORT WORTH,,,,,total,40969,33884,21082,10166,,,,,82.70643657399496%,51.45841978080988%,24.813883668139326%
2013,12.0,WACO,,,,,econ_status,4796,4033,3218,1784,,,Not Economically Disadvantaged,,84.0909090909091%,67.0975813177648%,37.1976647206005%
2013,12.0,WACO,,,,,ethnicity,573,421,309,159,,,,Others,73.47294938917976%,53.92670157068062%,27.748691099476442%
2013,12.0,WACO,,,,,total,10824,8561,5800,2704,,,,,79.09275683665928%,53.584626755358464%,24.98152254249815%
2013,12.0,WACO,,,,,ethnicity,1945,1451,1026,312,,,,African American,74.60154241645243%,52.75064267352185%,16.041131105398456%
2013,12.0,WACO,,,,,ethnicity,3109,2456,1475,640,,,,Hispanic,78.99646188485043%,47.44290768735928%,20.585397233837245%
2013,12.0,WACO,,,,,econ_status,6006,4504,2581,907,,,Economically Disadvantaged,,74.991674991675%,42.97369297369297%,15.1015651015651%
2013,12.0,WACO,,,,,ethnicity,4732,3832,2733,1497,,,,White,80.98055790363483%,57.75570583262891%,31.6356720202874%
2013,12.0,WACO,,,,,gender,5227,4207,3114,1561,,Female,,,80.48593839678591%,59.575282188635924%,29.86416682609527%
2013,12.0,WACO,,,,,gender,5597,4354,2686,1143,,Male,,,77.79167411113096%,47.9899946399857%,20.42165445774522%
2013,13.0,AUSTIN,,,,,ethnicity,1593,1390,1022,706,,,,Others,87.25674827369743%,64.15568110483365%,44.318895166352796%
2013,13.0,AUSTIN,,,,,econ_status,14542,12819,9337,5736,,,Not Economically Disadvantaged,,88.15156099573649%,64.2071241919956%,39.444368037408886%
2013,13.0,AUSTIN,,,,,ethnicity,1890,1506,916,340,,,,African American,79.68253968253968%,48.46560846560847%,17.989417989417987%
2013,13.0,AUSTIN,,,,,ethnicity,12052,9809,4919,2039,,,,Hispanic,81.3889810819781%,40.81480252240292%,16.91835380019914%
2013,13.0,AUSTIN,,,,,econ_status,12702,9779,4392,1498,,,Economically Disadvantaged,,76.98787592505117%,34.57723193197921%,11.793418359313494%
2013,13.0,AUSTIN,,,,,ethnicity,11167,9496,6658,4066,,,,White,85.03626757410227%,59.622100832810965%,36.410853407360975%
2013,13.0,AUSTIN,,,,,gender,13207,11237,7230,4080,,Female,,,85.08366775194972%,54.7436965245703%,30.89270841220565%
2013,13.0,AUSTIN,,,,,gender,14012,11387,6518,3157,,Male,,,81.26605766485869%,46.517270910648016%,22.530687981729947%
2013,13.0,AUSTIN,,,,,total,27219,22624,13748,7237,,,,,83.11840993423712%,50.50883573974062%,26.58804511554429%
2013,14.0,ABILENE,,,,,econ_status,1963,1584,1225,730,,,Not Economically Disadvantaged,,80.69281711665818%,62.40448293428425%,37.18797758532858%
2013,14.0,ABILENE,,,,,ethnicity,267,173,114,38,,,,African American,64.7940074906367%,42.69662921348314%,14.232209737827715%
2013,14.0,ABILENE,,,,,total,3872,2837,1894,984,,,,,73.26962809917356%,48.91528925619835%,25.413223140495866%
