CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART
"'011901103","CEDAR CREEK EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'PK - 05"," "," ","N","N"
"'011901104","BASTROP INT","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","M","'06 - 06"," "," ","N","N"
"'011901106","CEDAR CREEK MIDDLE","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","M","'07 - 08"," "," ","N","N"
"'011901107","RED ROCK EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'EE - 05"," "," ","N","N"
"'011901108","CEDAR CREEK INT","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","M","'06 - 06"," "," ","N","N"
"'011901109","BLUEBONNET EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'PK - 05"," "," ","N","N"
"'011901110","LOST PINES EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'EE - 05"," "," ","N","N"
"'011901111","COLONY OAKS EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'PK - 05"," "," ","N","N"
"'011901112","CAMINO REAL EL","'011901","BASTROP ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'PK - 05"," "," ","N","N"
"'011902001","ELGIN H S","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'09 - 12"," "," ","N","N"
"'011902003","BASTROP COUNTY JUVENILE BOOT CAMP","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'10 - 10"," "," ","N","N"
"'011902004","PHOENIX H S","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'10 - 12"," "," ","Y","N"
"'011902041","ELGIN MIDDLE","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","M","'07 - 08"," "," ","N","N"
"'011902042","ELGIN INT","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","M","'05 - 06"," "," ","N","N"
"'011902101","BOOKER T WASHINGTON EL","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'KG - 04"," "," ","N","N"
"'011902102","ELGIN EL","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'EE - 04"," "," ","N","N"
"'011902103","NEIDIG EL","'011902","ELGIN ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'KG - 04"," "," ","N","N"
"'011904002","SMITHVILLE H S","'011904","SMITHVILLE ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'09 - 12"," "," ","N","N"
"'011904041","SMITHVILLE J H","'011904","SMITHVILLE ISD","'13","REGION 13: AUSTIN","'011","BASTROP","M","'06 - 08"," "," ","N","N"
"'011904101","SMITHVILLE EL","'011904","SMITHVILLE ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'01 - 05"," "," ","N","N"
"'011904102","BROWN PRI","'011904","SMITHVILLE ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'EE - KG","'011904101","SMITHVILLE EL","N","N"
"'011905001","MCDADE H S","'011905","MCDADE ISD","'13","REGION 13: AUSTIN","'011","BASTROP","S","'07 - 12"," "," ","N","N"
"'011905101","MCDADE EL","'011905","MCDADE ISD","'13","REGION 13: AUSTIN","'011","BASTROP","E","'PK - 06"," "," ","N","N"
