CAMPUS,CDALLS,C_RATING,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,COMP23F,CAMPNAME,CD3,CD3G,CD3S,COUNTY,CNTYNAME,DISTRICT,DISTNAME,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_SCORE,LAS_WEIGHT,CFLPAIR,CFLPAIRD,CFLPAIRO,PAIRCAMP,PAIRNAME,REGION,REGNNAME,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G,CD2S,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G,CD1S,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP
003903125,81.0,B, ,N,N,N,N,Y,N,N,N,.,GARRETT PRI,,P,,3,ANGELINA,003903,LUFKIN ISD,PK,PK,PK - PK,E,,,Y,Y,N,003903000,LUFKIN ISD,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,,,,349,,0.0,349,100.0,94,26.9,,0.0,5,1.4,,0.0
003903127,69.0,D, ,N,N,N,N,N,N,N,N,.,HERTY PRI,,P,,3,ANGELINA,003903,LUFKIN ISD,02,EE,EE - 02,E,,,Y,N,N,003903123,COSTON EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,44.0,23.0,191.0,262,,0.0,244,93.1,50,19.1,,0.0,115,43.9,,0.0
003903128,86.0,B, ,N,N,N,N,N,N,N,N,.,KURTH PRI,,P,,3,ANGELINA,003903,LUFKIN ISD,02,KG,KG - 02,E,,,Y,N,N,003903120,ANDERSON EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,26.0,14.3,182.0,231,,0.0,213,92.2,28,12.1,,0.0,25,10.8,,0.0
003903129,69.0,D, ,N,N,N,N,N,N,N,N,.,SLACK EL,25.0,D,66.0,3,ANGELINA,003903,LUFKIN ISD,05,02,02 - 05,E,,,N,N,Y, , ,7,REGION 07: KILGORE,61.0,D,68.0,,C,73.0,C,73.0,39.0,67.0,,,,,D,67.0,452,86.9,41.0,7.7,535.0,520,,0.0,449,86.3,282,54.2,,0.0,41,7.9,,0.0
003903130,69.0,D, ,N,N,N,N,N,N,N,N,.,TROUT PRI,,P,,3,ANGELINA,003903,LUFKIN ISD,02,EE,EE - 02,E,,,Y,N,N,003903122,BROOKHOLLOW EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,41.0,21.0,195.0,252,,0.0,239,94.8,25,9.9,,0.0,38,15.1,,0.0
003903131,69.0,D, ,N,N,N,N,N,N,N,N,.,BURLEY PRI,,P,,3,ANGELINA,003903,LUFKIN ISD,02,KG,KG - 02,E,,,Y,N,N,003903129,SLACK EL,7,REGION 07: KILGORE,,P,,,P,,P,,,,,,,,P,,0,0.0,34.0,13.3,256.0,369,,0.0,319,86.4,182,49.3,,0.0,24,6.5,,0.0
003903201,,X,RESIDENTIAL FACILITY,N,Y,N,N,N,N,N,Y,.,JUVENILE DETENT CTR,,X,,3,ANGELINA,003903,LUFKIN ISD,11,08,08 - 11,S,,,N,N,N, , ,7,REGION 07: KILGORE,,X,,,X,,X,,,,,,,,X,,6,100.0,80.0,100.0,80.0,6,,0.0,6,100.0,0,0.0,0.0,0.0,2,33.3,,0.0
003904001,80.0,B, ,N,N,N,N,N,N,N,N,.,HUNTINGTON H S,46.0,D,68.0,3,ANGELINA,003904,HUNTINGTON ISD,12,09,09 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,79.0,B,85.0,,C,79.0,B,85.0,51.0,78.0,69.0,73.0,98.1,90.0,C,78.0,499,100.0,86.0,16.2,530.0,499,0.0,0.0,260,52.1,7,1.4,0.0,0.0,80,16.0,0.0,0.0
003904005,,Z,DROPOUT RECOVERY SCHOOL,Y,Y,N,N,N,N,N,N,.,PRIDE ALTER SCH,,Z,,3,ANGELINA,003904,HUNTINGTON ISD,12,11,11 - 12,S,,,N,N,N, , ,7,REGION 07: KILGORE,,Z,,,Z,,Z,,,,35.0,82.0,100.0,100.0,Z,,13,100.0,28.0,90.3,31.0,13,0.0,0.0,8,61.5,0,0.0,0.0,0.0,2,15.4,0.0,0.0
003904041,83.0,B, ,N,N,N,N,N,N,N,N,.,HUNTINGTON MIDDLE,65.0,B,85.0,3,ANGELINA,003904,HUNTINGTON ISD,08,06,06 - 08,M,,,N,N,N, , ,7,REGION 07: KILGORE,69.0,B,81.0,,B,82.0,B,82.0,50.0,81.0,,,,,B,81.0,371,100.0,70.0,16.5,423.0,371,0.0,0.0,200,53.9,7,1.9,0.0,0.0,76,20.5,0.0,0.0
