COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,GRDTYPE,CFLALTED,CNTYNAME,CFLCHART,PAIRNAME
008,06,'PK - 05, ,008902104,008902,SEALY EL,SEALY ISD,E,N,AUSTIN,N, 
008,06,'09 - 12, ,008903001,008903,BRAZOS H S,BRAZOS ISD,S,N,AUSTIN,N, 
008,06,'06 - 08, ,008903041,008903,BRAZOS MIDDLE,BRAZOS ISD,M,N,AUSTIN,N, 
008,06,'EE - 05, ,008903102,008903,BRAZOS EL,BRAZOS ISD,E,N,AUSTIN,N, 
009,17,'09 - 12, ,009901001,009901,MULESHOE H S,MULESHOE ISD,S,N,BAILEY,N, 
009,17,'06 - 08, ,009901041,009901,WATSON J H,MULESHOE ISD,M,N,BAILEY,N, 
009,17,'03 - 05, ,009901101,009901,MARY DESHAZO EL,MULESHOE ISD,E,N,BAILEY,N, 
009,17,'EE - 02,'009901101,009901103,009901,DILLMAN EL,MULESHOE ISD,E,N,BAILEY,N,MARY DESHAZO EL
010,20,'PK - 12, ,010901001,010901,MEDINA SCHOOL,MEDINA ISD,B,N,BANDERA,N, 
010,20,'09 - 12, ,010902001,010902,BANDERA H S,BANDERA ISD,S,N,BANDERA,N, 
010,20,'06 - 08, ,010902041,010902,BANDERA MIDDLE,BANDERA ISD,M,N,BANDERA,N, 
010,20,'EE - 05, ,010902101,010902,ALKEK EL,BANDERA ISD,E,N,BANDERA,N, 
010,20,'EE - 05, ,010902102,010902,HILL COUNTRY EL,BANDERA ISD,E,N,BANDERA,N, 
011,13,'09 - 12, ,011901001,011901,BASTROP H S,BASTROP ISD,S,N,BASTROP,N, 
011,13,'09 - 12, ,011901002,011901,CEDAR CREEK H S,BASTROP ISD,S,N,BASTROP,N, 
011,13,'09 - 12, ,011901005,011901,COLORADO RIVER COLLEGIATE ACADEMY,BASTROP ISD,S,N,BASTROP,N, 
011,13,'09 - 12, ,011901022,011901,GENESIS H S,BASTROP ISD,S,Y,BASTROP,N, 
011,13,'07 - 08, ,011901041,011901,BASTROP MIDDLE,BASTROP ISD,M,N,BASTROP,N, 
011,13,'PK - 04, ,011901101,011901,EMILE EL,BASTROP ISD,E,N,BASTROP,N, 
011,13,'EE - 04, ,011901102,011901,MINA EL,BASTROP ISD,E,N,BASTROP,N, 
011,13,'PK - 04, ,011901103,011901,CEDAR CREEK EL,BASTROP ISD,E,N,BASTROP,N, 
011,13,'05 - 06, ,011901104,011901,BASTROP INT,BASTROP ISD,M,N,BASTROP,N, 
011,13,'07 - 08, ,011901106,011901,CEDAR CREEK MIDDLE,BASTROP ISD,M,N,BASTROP,N, 
011,13,'EE - 04, ,011901107,011901,RED ROCK EL,BASTROP ISD,E,N,BASTROP,N, 
011,13,'05 - 06, ,011901108,011901,CEDAR CREEK INT,BASTROP ISD,M,N,BASTROP,N, 
011,13,'PK - 04, ,011901109,011901,BLUEBONNET EL,BASTROP ISD,E,N,BASTROP,N, 
011,13,'EE - 04, ,011901110,011901,LOST PINES EL,BASTROP ISD,E,N,BASTROP,N, 
011,13,'09 - 12, ,011902001,011902,ELGIN H S,ELGIN ISD,S,N,BASTROP,N, 
011,13,'09 - 12, ,011902004,011902,PHOENIX H S,ELGIN ISD,S,Y,BASTROP,N, 
011,13,'07 - 08, ,011902041,011902,ELGIN MIDDLE,ELGIN ISD,M,N,BASTROP,N, 
011,13,'05 - 06, ,011902042,011902,ELGIN INT,ELGIN ISD,M,N,BASTROP,N, 
011,13,'KG - 04, ,011902101,011902,BOOKER T WASHINGTON EL,ELGIN ISD,E,N,BASTROP,N, 
011,13,'EE - 04, ,011902102,011902,ELGIN EL,ELGIN ISD,E,N,BASTROP,N, 
011,13,'KG - 04, ,011902103,011902,NEIDIG EL,ELGIN ISD,E,N,BASTROP,N, 
011,13,'09 - 12, ,011904002,011904,SMITHVILLE H S,SMITHVILLE ISD,S,N,BASTROP,N, 
011,13,'06 - 08, ,011904041,011904,SMITHVILLE J H,SMITHVILLE ISD,M,N,BASTROP,N, 
011,13,'01 - 05, ,011904101,011904,SMITHVILLE EL,SMITHVILLE ISD,E,N,BASTROP,N, 
011,13,'EE - KG,'011904101,011904102,011904,BROWN PRI,SMITHVILLE ISD,E,N,BASTROP,N,SMITHVILLE EL
011,13,'07 - 12, ,011905001,011905,MCDADE H S,MCDADE ISD,S,N,BASTROP,N, 
011,13,'PK - 06, ,011905101,011905,MCDADE EL,MCDADE ISD,E,N,BASTROP,N, 
012,09,'09 - 12, ,012901001,012901,SEYMOUR H S,SEYMOUR ISD,S,N,BAYLOR,N, 
012,09,'05 - 08, ,012901042,012901,SEYMOUR MIDDLE,SEYMOUR ISD,M,N,BAYLOR,N, 
012,09,'PK - 04, ,012901101,012901,SEYMOUR EL,SEYMOUR ISD,E,N,BAYLOR,N, 
013,02,'KG - 06, ,013801101,013801,ST MARY'S ACADEMY CHARTER SCHOOL,ST MARY'S ACADEMY CHARTER SCHOOL,E,N,BEE,Y, 
013,02,'09 - 12, ,013901001,013901,A C JONES H S,BEEVILLE ISD,S,N,BEE,N, 
013,02,'06 - 08, ,013901041,013901,MORENO J H,BEEVILLE ISD,M,N,BEE,N, 
013,02,'01 - 05, ,013901101,013901,R A HALL EL,BEEVILLE ISD,E,N,BEE,N, 
013,02,'01 - 05, ,013901102,013901,FADDEN-MCKEOWN-CHAMBLISS EL,BEEVILLE ISD,E,N,BEE,N, 
013,02,'EE - KG,'013901101,013901105,013901,HAMPTON-MORENO-DUGAT EARLY CHILDHOOD CENTER,BEEVILLE ISD,E,N,BEE,N,R A HALL EL
013,02,'PK - 09, ,013902101,013902,PAWNEE EL / J H/HS,PAWNEE ISD,B,N,BEE,N, 
013,02,'06 - 12, ,013903001,013903,PETTUS SECONDARY,PETTUS ISD,B,N,BEE,N, 
013,02,'PK - 05, ,013903101,013903,PETTUS EL,PETTUS ISD,E,N,BEE,N, 
