DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"015806","LEGACY TRADITIONAL SCHOOLS - TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","D","D","D","D","F","D",67,66,56,67,185,905,1754,170,196,0,0,958,10.5,9.7,0,0,11.2,54.6,66,67
"015807","SOUTHWEST PREPARATORY SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","D","D","D","D","D","F",64,61,66,54,100,615,792,138,0,41,0,576,12.6,17.4,5.2,0,0,72.7,66,62
"015808","INSPIRE ACADEMIES","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","C","F","C","C",84,58,75,76,47,435,811,165,0,0,0,612,5.8,20.3,0,0,0,75.5,75,82
"015809","BEXAR COUNTY ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","F","F","F","F","F","D",43,54,42,62,27,136,198,22,0,0,0,89,13.6,11.1,0,0,0,44.9,54,56
"015814","POSITIVE SOLUTIONS CHARTER SCHOOL","015","BEXAR","20","REGION 20: SAN ANTONIO","B","C","A","A","A","D",70,92,91,67,3,70,81,18,0,0,0,81,3.7,22.2,0,0,0,100,92,85
"015815","HERITAGE ACADEMY","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","B","B","B","B",88,87,86,89,332,518,574,67,0,0,0,498,57.8,11.7,0,0,0,86.8,87,88
"015822","JUBILEE ACADEMIES","015","BEXAR","20","REGION 20: SAN ANTONIO","C","D","C","D","C","C",67,60,70,70,1865,5171,6017,624,0,12,37,3980,31,10.4,0.2,0.6,0,66.1,70,70
"015825","LIGHTHOUSE PUBLIC SCHOOLS","015","BEXAR","20","REGION 20: SAN ANTONIO","D","F","D","D","F","D",51,63,54,64,126,335,382,74,0,0,0,237,33,19.4,0,0,0,62,63,63
"015827","SCHOOL OF SCIENCE AND TECHNOLOGY","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","B","C","B","B",81,75,84,84,1032,2982,5053,601,207,0,0,3135,20.4,11.9,0,0,4.1,62,84,84
"015828","HARMONY PUBLIC SCHOOLS - SOUTH TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","B","C","B","B",81,75,86,86,2137,3987,4848,466,0,132,0,3698,44.1,9.6,2.7,0,0,76.3,86,86
"015830","SOMERSET ACADEMIES OF TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","C","C","C","F","C","C",71,56,71,73,242,2122,2817,459,68,126,0,2155,8.6,16.3,4.5,0,2.4,76.5,71,72
"015831","SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","B","C","B","A",87,79,87,90,1063,4005,5967,769,402,0,0,3657,17.8,12.9,0,0,6.7,61.3,87,88
"015833","HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN","015","BEXAR","20","REGION 20: SAN ANTONIO","F","F","F","F","F","F",59,53,57,53,0,34,75,13,0,0,0,75,0,17.3,0,0,0,100,57,57
"015834","BASIS TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","A","A","B","B","C","A",93,86,78,91,934,212,6266,261,0,0,0,3860,14.9,4.2,0,0,0,61.6,86,92
"015835","GREAT HEARTS TEXAS","015","BEXAR","20","REGION 20: SAN ANTONIO","B","B","C","C","D","B",81,71,69,82,1409,3308,12018,1246,0,0,0,8225,11.7,10.4,0,0,0,68.4,71,81
