DISTRICT,CAMPNAME,COUNTY,CAMPUS,CAMPNAME_CLEAN,GRDTYPE,GRDSPAN,CFLCHART
227909,BRIDGE POINT EL,227,227909106,Bridge Point Elementary School,E,KG - 05,N
227910,DEL VALLE H S,227,227910001,Del Valle High School,S,09 - 12,N
227910,DEL VALLE OPPORTUNITY CTR,227,227910002,Del Valle Opportunity Center,S,09 - 12,N
227910,TRAVIS CO J J A E P,227,227910005,Travis Co JJAEP,S,09 - 10,N
227910,DEL VALLE MIDDLE,227,227910041,Del Valle Middle School,M,06 - 08,N
227910,JOHN P OJEDA MIDDLE,227,227910042,John P Ojeda Middle School,M,06 - 08,N
227910,DAILEY MIDDLE,227,227910043,Dailey Middle School,M,06 - 08,N
227910,POPHAM EL,227,227910101,Popham Elementary School,E,PK - 05,N
227910,SMITH EL,227,227910106,Smith Elementary School,E,PK - 05,N
227910,HILLCREST EL,227,227910107,Hillcrest Elementary School,E,EE - 05,N
227910,BATY EL,227,227910108,Baty Elementary School,E,EE - 05,N
227910,HORNSBY-DUNLAP EL,227,227910109,Hornsby-Dunlap Elementary School,E,PK - 05,N
227910,DEL VALLE EL,227,227910110,Del Valle Elementary School,E,EE - 05,N
227910,CREEDMOOR EL,227,227910111,Creedmoor Elementary School,E,EE - 05,N
227910,JOSEPH GILBERT EL,227,227910112,Joseph Gilbert Elementary School,E,EE - 05,N
227910,NEWTON COLLINS EL,227,227910113,Newton Collins Elementary School,E,EE - 05,N
227912,LAGO VISTA H S,227,227912001,Lago Vista High School,S,09 - 12,N
227912,LAGO VISTA MIDDLE,227,227912041,Lago Vista Middle School,M,06 - 08,N
227912,LAGO VISTA EL,227,227912101,Lago Vista Elementary School,E,EE - 03,N
227912,LAGO VISTA INT,227,227912102,Lago Vista Intermediate School,E,04 - 05,N
227913,LAKE TRAVIS H S,227,227913001,Lake Travis High School,S,09 - 12,N
227913,LAKE TRAVIS MIDDLE,227,227913041,Lake Travis Middle School,M,06 - 08,N
227913,HUDSON BEND MIDDLE,227,227913042,Hudson Bend Middle School,M,06 - 08,N
227913,LAKE TRAVIS EL,227,227913101,Lake Travis Elementary School,E,PK - 05,N
227913,LAKEWAY EL,227,227913102,Lakeway Elementary School,E,KG - 05,N
227913,BEE CAVE EL,227,227913103,Bee Cave Elementary School,E,KG - 05,N
227913,LAKE POINTE EL,227,227913104,Lake Pointe Elementary School,E,EE - 05,N
227913,SERENE HILLS EL,227,227913105,Serene Hills Elementary School,E,KG - 05,N
227913,WEST CYPRESS HILLS EL,227,227913106,West Cypress Hills Elementary School,E,KG - 05,N
228901,GROVETON J H-H S,228,228901001,Groveton J H-H S,B,06 - 12,N
228901,GROVETON EL,228,228901102,Groveton Elementary School,E,PK - 05,N
228903,TRINITY H S,228,228903001,Trinity High School,S,09 - 12,N
228903,TRINITY J H,228,228903041,Trinity Junior High,M,06 - 08,N
228903,LANSBERRY EL,228,228903103,Lansberry Elementary School,E,PK - 05,N
228904,CENTERVILLE H S,228,228904001,Centerville High School,B,PK - 12,N
228905,APPLE SPRINGS H S,228,228905001,Apple Springs High School,S,07 - 12,N
228905,APPLE SPRINGS EL,228,228905101,Apple Springs Elementary School,E,PK - 06,N
229901,COLMESNEIL JH/HS,229,229901001,Colmesneil Jh/Hs,S,07 - 12,N
229901,COLMESNEIL EL,229,229901101,Colmesneil Elementary School,E,PK - 06,N
229903,WOODVILLE H S,229,229903001,Woodville High School,S,09 - 12,N
229903,WOODVILLE MIDDLE,229,229903041,Woodville Middle School,M,06 - 08,N
229903,WOODVILLE EL,229,229903102,Woodville Elementary School,E,EE - 02,N
229903,WOODVILLE INT,229,229903103,Woodville Intermediate School,E,03 - 05,N
229904,WARREN H S,229,229904001,Warren High School,S,09 - 12,N
229904,WARREN JJAEP,229,229904003,Warren JJAEP,S,09 - 09,N
229904,WARREN J H,229,229904041,Warren Junior High,M,06 - 08,N
229904,FRED EL,229,229904101,Fred Elementary School,E,PK - 05,N
229904,WARREN EL,229,229904103,Warren Elementary School,E,EE - 05,N
229905,SPURGER H S,229,229905001,Spurger High School,B,06 - 12,N
229905,SPURGER EL,229,229905101,Spurger Elementary School,E,PK - 05,N
229906,CHESTER H S,229,229906001,Chester High School,B,06 - 12,N
229906,CHESTER EL,229,229906101,Chester Elementary School,E,PK - 05,N
230901,BIG SANDY H S,230,230901001,Big Sandy High School,S,09 - 12,N
230901,BIG SANDY J H,230,230901041,Big Sandy Junior High,M,06 - 08,N
230901,BIG SANDY EL,230,230901101,Big Sandy Elementary School,E,EE - 05,N
230902,GILMER H S,230,230902002,Gilmer High School,S,09 - 12,N
230902,BRUCE J H,230,230902041,Bruce Junior High,M,06 - 08,N
230902,GILMER EL,230,230902102,Gilmer Elementary School,E,EE - 04,N
230902,GILMER INT,230,230902103,Gilmer Intermediate School,M,05 - 06,N
230903,ORE CITY H S,230,230903001,Ore City High School,S,09 - 12,N
230903,ORE CITY MIDDLE,230,230903041,Ore City Middle School,M,06 - 08,N
230903,ORE CITY EL,230,230903102,Ore City Elementary School,E,EE - 05,N
230904,UNION HILL H S,230,230904001,Union Hill High School,B,06 - 12,N
230904,SHARON A RICHARDSON EL,230,230904101,Sharon A Richardson Elementary School,E,PK - 05,N
230905,HARMONY H S,230,230905001,Harmony High School,S,09 - 12,N
230905,HARMONY J H,230,230905041,Harmony Junior High,M,06 - 08,N
230905,HARMONY EL,230,230905101,Harmony Elementary School,E,PK - 03,N
230905,HARMONY INTERMEDIATE SCHOOL,230,230905102,Harmony Intermediate School,E,04 - 05,N
230906,NEW DIANA H S,230,230906001,New Diana High School,S,09 - 12,N
230906,NEW DIANA MIDDLE,230,230906041,New Diana Middle School,M,06 - 08,N
230906,ROBERT F HUNT EL,230,230906102,Robert F Hunt Elementary School,E,EE - 05,N
230908,UNION GROVE H S,230,230908001,Union Grove High School,S,09 - 12,N
230908,UNION GROVE J H,230,230908041,Union Grove Junior High,M,07 - 08,N
230908,UNION GROVE EL,230,230908101,Union Grove Elementary School,E,PK - 06,N
231901,MCCAMEY H S,231,231901001,McCamey High School,S,09 - 12,N
231901,MCCAMEY MIDDLE,231,231901041,McCamey Middle School,M,05 - 08,N
231901,MCCAMEY PRI,231,231901102,McCamey Primary School,E,PK - 04,N
231902,RANKIN H S,231,231902001,Rankin High School,B,06 - 12,N
231902,GOSSETT EL,231,231902102,Gossett Elementary School,E,PK - 05,N
232901,KNIPPA SCHOOL,232,232901001,Knippa School,B,PK - 12,N
232902,SABINAL H S,232,232902001,Sabinal High School,S,09 - 12,N
232902,SABINAL MIDDLE,232,232902041,Sabinal Middle School,M,06 - 08,N
232902,SABINAL EL,232,232902101,Sabinal Elementary School,E,PK - 05,N
232903,UVALDE H S,232,232903001,Uvalde High School,S,09 - 12,N
232903,MORALES J H,232,232903044,Morales Junior High,M,06 - 08,N
232903,DALTON EL,232,232903102,Dalton Elementary School,E,EE - KG,N
232903,ROBB EL,232,232903103,Robb Elementary School,E,03 - 04,N
232903,ANTHON EL,232,232903104,Anthon Elementary School,E,KG - 02,N
232903,BATESVILLE SCHOOL,232,232903108,Batesville School,E,PK - 06,N
232903,FLORES EL,232,232903110,Flores Elementary School,M,05 - 06,N
232904,UTOPIA SCHOOL,232,232904001,Utopia School,B,PK - 12,N
233901,DEL RIO H S,233,233901001,Del Rio High School,S,09 - 12,N
233901,BLENDED ACADEMY,233,233901004,Blended Academy,S,08 - 12,N
233901,DEL RIO EARLY COLLEGE H S,233,233901005,Del Rio Early College High School,S,09 - 12,N
233901,DEL RIO MIDDLE,233,233901043,Del Rio Middle School,M,07 - 08,N
233901,GARFIELD EL,233,233901102,Garfield Elementary School,E,KG - 05,N
233901,NORTH HEIGHTS EL,233,233901103,North Heights Elementary School,E,KG - 05,N
233901,SAN FELIPE MEMORIAL MIDDLE,233,233901104,San Felipe Memorial Middle School,M,06 - 06,N
233901,LAMAR EL,233,233901106,Lamar Elementary School,E,KG - 05,N
233901,IRENE C CARDWELL EL,233,233901108,Irene C Cardwell Elementary School,E,EE - PK,N
233901,BUENA VISTA EL,233,233901110,Buena Vista Elementary School,E,KG - 05,N
233901,RUBEN CHAVIRA EL,233,233901111,Ruben Chavira Elementary School,E,KG - 05,N
233901,DR FERMIN CALDERON EL,233,233901112,Dr Fermin Calderon Elementary School,E,EE - 05,N
233901,DR LONNIE GREEN JR EL,233,233901113,Dr Lonnie Green Jr Elementary School,E,KG - 05,N
233901,ROBERTO BOBBY BARRERA EL STEM MAGN,233,233901114,Roberto Bobby Barrera El Stem Magn,E,PK - 05,N
233903,COMSTOCK SCHOOL,233,233903001,Comstock School,B,KG - 12,N
234801,RANCH ACADEMY,234,234801001,Ranch Academy,S,07 - 12,Y
234902,CANTON H S,234,234902001,Canton High School,S,09 - 12,N
234902,CANTON J H,234,234902041,Canton Junior High,M,06 - 08,N
234902,CANTON EL,234,234902101,Canton Elementary School,E,EE - 02,N
234902,CANTON INT,234,234902102,Canton Intermediate School,E,03 - 05,N
234903,EDGEWOOD H S,234,234903001,Edgewood High School,S,09 - 12,N
234903,EDGEWOOD MIDDLE,234,234903041,Edgewood Middle School,M,06 - 08,N
234903,EDGEWOOD INT,234,234903042,Edgewood Intermediate School,E,03 - 05,N
234903,EDGEWOOD EL,234,234903101,Edgewood Elementary School,E,EE - 02,N
234904,GRAND SALINE H S,234,234904001,Grand Saline High School,S,09 - 12,N
234904,VAN ZANDT CO YOUTH MULTI-SERVICE C,234,234904002,Van Zandt Co Youth Multi-Service C,B,06 - 11,N
234904,GRAND SALINE MIDDLE,234,234904041,Grand Saline Middle School,M,06 - 08,N
234904,GRAND SALINE EL,234,234904101,Grand Saline Elementary School,E,EE - 02,N
234904,GRAND SALINE INT,234,234904102,Grand Saline Intermediate School,E,03 - 05,N
234905,MARTINS MILL H S,234,234905001,Martins Mill High School,S,07 - 12,N
234905,MARTINS MILL EL,234,234905101,Martins Mill Elementary School,E,EE - 06,N
234906,VAN H S,234,234906001,Van High School,S,09 - 12,N
234906,VAN J H,234,234906041,Van Junior High,M,07 - 08,N
234906,RHODES EL,234,234906101,Rhodes Elementary School,E,EE - 01,N
234906,VAN INT,234,234906103,Van Intermediate School,E,02 - 03,N
234906,VAN MIDDLE,234,234906104,Van Middle School,E,04 - 06,N
234907,WILLS POINT H S,234,234907002,Wills Point High School,S,09 - 12,N
234907,WILLS POINT MIDDLE,234,234907041,Wills Point Middle School,M,05 - 06,N
234907,WILLS POINT J H,234,234907042,Wills Point Junior High,M,07 - 08,N
234907,EARNEST O WOODS INT,234,234907101,Earnest O Woods Intermediate School,E,02 - 04,N
234907,WILLS POINT PRI,234,234907102,Wills Point Primary School,E,EE - 01,N
234909,FRUITVALE H S,234,234909001,Fruitvale High School,S,09 - 12,N
234909,FRUITVALE MIDDLE,234,234909041,Fruitvale Middle School,M,06 - 08,N
234909,HALLIE RANDALL EL,234,234909101,Hallie Randall Elementary School,E,PK - 05,N
235901,BLOOMINGTON H S,235,235901001,Bloomington High School,S,09 - 12,N
235901,BLOOMINGTON J H,235,235901041,Bloomington Junior High,M,06 - 08,N
235901,BLOOMINGTON EL,235,235901101,Bloomington Elementary School,E,02 - 05,N
235901,PLACEDO EL,235,235901103,Placedo Elementary School,E,EE - 01,N
235902,MITCHELL GUIDANCE CENTER,235,235902004,Mitchell Guidance Center,S,09 - 12,N
235902,LIBERTY ACADEMY,235,235902006,Liberty Academy,S,09 - 12,N
235902,VICTORIA REGIONAL JUVENILE JUSTICE,235,235902008,Victoria Regional Juvenile Justice,S,08 - 12,N
235902,VICTORIA EAST H S,235,235902013,Victoria East High School,S,09 - 12,N
235902,VICTORIA WEST H S,235,235902014,Victoria West High School,S,09 - 12,N
235902,STROMAN MIDDLE,235,235902041,Stroman Middle School,M,06 - 08,N
235902,PATTI WELDER MIDDLE,235,235902042,Patti Welder Middle School,M,06 - 08,N
235902,HOWELL MIDDLE,235,235902043,Howell Middle School,M,06 - 08,N
235902,HAROLD CADE MIDDLE,235,235902044,Harold Cade Middle School,M,06 - 08,N
235902,MITCHELL GUIDANCE CENTER MIDDLE,235,235902045,Mitchell Guidance Center Middle School,M,06 - 08,N
235902,ALOE EL,235,235902101,Aloe Elementary School,E,PK - 05,N
235902,DUDLEY EL,235,235902102,Dudley Elementary School,E,EE - 05,N
235902,F W GROSS EL,235,235902103,F W Gross Elementary School,E,EE - 05,N
235902,GUADALUPE EL,235,235902104,Guadalupe Elementary School,E,KG - 05,N
235902,HOPKINS EL,235,235902105,Hopkins Elementary School,E,EE - 05,N
235902,CRAIN EL,235,235902106,Crain Elementary School,E,EE - 05,N
235902,O'CONNOR EL,235,235902108,O'Connor Elementary School,E,PK - 05,N
235902,ROWLAND EL,235,235902110,Rowland Elementary School,E,EE - 05,N
235902,SHIELDS EL,235,235902111,Shields Elementary School,E,EE - 05,N
235902,SMITH EL,235,235902112,Smith Elementary School,E,PK - 05,N
235902,VICKERS EL,235,235902114,Vickers Elementary School,E,PK - 05,N
235902,WILLIAM WOOD EL,235,235902115,William Wood Elementary School,E,KG - 05,N
235902,MISSION VALLEY EL,235,235902117,Mission Valley Elementary School,E,PK - 05,N
235902,MARTIN DE LEON EL,235,235902118,Martin De Leon Elementary School,E,EE - 05,N
235902,C O CHANDLER EL,235,235902123,C O Chandler Elementary School,E,EE - 05,N
235902,RODOLFO TORRES EL,235,235902125,Rodolfo Torres Elementary School,E,EE - 05,N
235902,ELLA SCHORLEMMER EL,235,235902126,Ella Schorlemmer Elementary School,E,EE - 05,N
235904,NURSERY EL,235,235904101,Nursery Elementary School,E,EE - 05,N
236801,THOMAS BUZBEE VOCATIONAL SCHOOL,236,236801001,Thomas Buzbee Vocational School,S,09 - 12,Y
236802,SAM HOUSTON STATE UNIVERSITY CHART,236,236802101,Sam Houston State University Chart,E,KG - 05,Y
236901,NEW WAVERLY H S,236,236901002,New Waverly High School,S,09 - 12,N
236901,NEW WAVERLY J H,236,236901042,New Waverly Junior High,M,06 - 08,N
236901,NEW WAVERLY INT,236,236901101,New Waverly Intermediate School,E,04 - 05,N
236901,NEW WAVERLY EL,236,236901102,New Waverly Elementary School,E,EE - 03,N
236902,HUNTSVILLE H S,236,236902002,Huntsville High School,S,09 - 12,N
236902,TEXAS ONLINE PREPARATORY H S,236,236902008,Texas Online Preparatory High School,S,09 - 12,N
236902,HUNTSVILLE INT,236,236902041,Huntsville Intermediate School,M,05 - 06,N
236902,MANCE PARK MIDDLE,236,236902042,Mance Park Middle School,M,07 - 08,N
236902,TEXAS ONLINE PREPARATORY MIDDLE,236,236902048,Texas Online Preparatory Middle School,M,06 - 08,N
236902,STEWART EL,236,236902101,Stewart Elementary School,E,KG - 04,N
236902,GIBBS PRE-K CENTER,236,236902102,Gibbs Pre-K Center,E,EE - PK,N
236902,SAMUEL HOUSTON EL,236,236902103,Samuel Houston Elementary School,E,KG - 04,N
236902,SCOTT JOHNSON EL,236,236902104,Scott Johnson Elementary School,E,KG - 04,N
236902,HUNTSVILLE EL,236,236902106,Huntsville Elementary School,E,KG - 04,N
236902,TEXAS ONLINE PREPARATORY EL,236,236902108,Texas Online Preparatory Elementary School,E,03 - 05,N
237902,HEMPSTEAD H S,237,237902001,Hempstead High School,S,09 - 12,N
237902,HEMPSTEAD ALTERNATIVE LEARNING CEN,237,237902004,Hempstead Alternative Learning Center,S,09 - 12,N
237902,HEMPSTEAD MIDDLE,237,237902041,Hempstead Middle School,M,06 - 08,N
237902,HEMPSTEAD EL,237,237902101,Hempstead Elementary School,E,EE - 05,N
237904,WALLER H S,237,237904002,Waller High School,S,09 - 12,N
237904,WALLER J H,237,237904041,Waller Junior High,M,06 - 08,N
237904,SCHULTZ J H,237,237904043,Schultz Junior High,M,06 - 08,N
237904,ROBERTS ROAD EL,237,237904101,Roberts Road Elementary School,E,PK - 05,N
237904,I T HOLLEMAN EL,237,237904102,I T Holleman Elementary School,E,PK - 05,N
237904,H T JONES EL,237,237904104,H T Jones Elementary School,E,EE - 05,N
237904,FIELDS STORE EL,237,237904106,Fields Store Elementary School,E,PK - 05,N
237904,EVELYN TURLINGTON EL,237,237904107,Evelyn Turlington Elementary School,E,EE - 05,N
237905,ROYAL H S,237,237905002,Royal High School,S,09 - 12,N
237905,ROYAL J H,237,237905041,Royal Junior High,M,06 - 08,N
237905,ROYAL EL,237,237905105,Royal Elementary School,E,02 - 05,N
237905,ROYAL EARLY CHILDHOOD CENTER,237,237905106,Royal Early Childhood Center,E,PK - 01,N
238902,MONAHANS H S,238,238902001,Monahans High School,S,09 - 12,N
238902,MONAHANS ED CTR,238,238902002,Monahans Ed Center,S,10 - 12,N
238902,WALKER J H,238,238902041,Walker Junior High,M,07 - 08,N
238902,SUDDERTH EL,238,238902107,Sudderth Elementary School,E,04 - 06,N
238902,TATOM EL,238,238902108,Tatom Elementary School,E,01 - 03,N
238902,GEORGE CULLENDER KIND,238,238902109,George Cullender Kind,E,EE - KG,N
238904,GRANDFALLS-ROYALTY SCHOOL,238,238904001,Grandfalls-Royalty School,B,PK - 12,N
239901,BRENHAM H S,239,239901001,Brenham High School,S,09 - 12,N
239901,BRENHAM MIDDLE,239,239901041,Brenham Middle School,M,05 - 06,N
239901,BRENHAM J H,239,239901042,Brenham Junior High,M,07 - 08,N
239901,ALTON EL,239,239901101,Alton Elementary School,E,EE - 04,N
239901,BRENHAM EL,239,239901102,Brenham Elementary School,E,EE - 04,N
239901,KRAUSE EL,239,239901103,Krause Elementary School,E,EE - 04,N
239901,BRENHAM EARLY CHILDHOOD LEARNING C,239,239901106,Brenham Early Childhood Learning C,E,PK - PK,N
239903,BURTON H S,239,239903001,Burton High School,S,07 - 12,N
239903,BURTON EL,239,239903101,Burton Elementary School,E,PK - 06,N
240801,GATEWAY ACADEMY-TOWNLAKE CHARTER H,240,240801001,Gateway Academy-Townlake Charter H,S,09 - 12,Y
240801,GATEWAY ACADEMY-SIERRA VISTA CHART,240,240801002,Gateway Academy-Sierra Vista Chart,S,09 - 12,Y
240901,MARTIN H S,240,240901001,Martin High School,S,09 - 12,N
240901,NIXON H S,240,240901002,Nixon High School,S,09 - 12,N
240901,DR LEO CIGARROA H S,240,240901003,Dr Leo Cigarroa High School,S,09 - 12,N
240901,F S LARA ACADEMY,240,240901007,F S Lara Academy,B,06 - 12,N
240901,HECTOR J GARCIA EARLY COLLEGE H S,240,240901008,Hector J Garcia Early College High School,S,09 - 12,N
240901,WEBB COUNTY J J A E P,240,240901010,Webb County JJAEP,S,07 - 10,N
240901,CHRISTEN MIDDLE,240,240901041,Christen Middle School,M,06 - 08,N
240901,LAMAR MIDDLE,240,240901042,Lamar Middle School,M,06 - 08,N
240901,JOAQUIN CIGARROA MIDDLE,240,240901043,Joaquin Cigarroa Middle School,M,06 - 08,N
240901,MEMORIAL MIDDLE,240,240901044,Memorial Middle School,M,06 - 08,N
240901,BRUNI EL,240,240901101,Bruni Elementary School,E,PK - 05,N
240901,DON JOSE GALLEGO,240,240901102,Don Jose Gallego,E,PK - 05,N
240901,DAICHES EL,240,240901104,Daiches Elementary School,E,PK - 05,N
240901,FARIAS EL,240,240901105,Farias Elementary School,E,PK - 05,N
240901,HEIGHTS EL,240,240901106,Heights Elementary School,E,EE - 05,N
240901,TARVER EL,240,240901107,Tarver Elementary School,E,PK - 05,N
240901,LEYENDECKER EL,240,240901108,Leyendecker Elementary School,E,PK - 05,N
240901,MACDONELL EL,240,240901109,MacDonell Elementary School,E,PK - 05,N
240901,MILTON EL,240,240901110,Milton Elementary School,E,PK - 05,N
240901,PIERCE EL,240,240901111,Pierce Elementary School,E,EE - 05,N
240901,RYAN EL,240,240901112,Ryan Elementary School,E,PK - 05,N
240901,SANTA MARIA EL,240,240901115,Santa Maria Elementary School,E,EE - 05,N
240901,SANTO NINO EL,240,240901116,Santo Nino Elementary School,E,PK - 05,N
240901,D D HACHAR EL,240,240901119,D D Hachar Elementary School,E,PK - 05,N
240901,J C MARTIN JR EL,240,240901120,J C Martin Jr Elementary School,E,PK - 05,N
240901,H B ZACHRY EL,240,240901121,H B Zachry Elementary School,E,PK - 05,N
240901,J KAWAS EL,240,240901122,J Kawas Elementary School,E,PK - 05,N
240901,DOVALINA EL,240,240901123,Dovalina Elementary School,E,PK - 05,N
240901,LIGARDE EL,240,240901124,Ligarde Elementary School,E,PK - 05,N
240901,T SANCHEZ EL / H OCHOA EL,240,240901125,T Sanchez El / H Ochoa Elementary School,E,PK - 05,N
240903,UNITED H S,240,240903001,United High School,S,09 - 12,N
240903,UNITED SOUTH H S,240,240903002,United South High School,S,09 - 12,N
240903,JOHN B ALEXANDER H S,240,240903003,John B Alexander High School,S,09 - 12,N
240903,UNITED STEP ACADEMY,240,240903004,United Step Academy,B,06 - 12,N
240903,JUVENILLE JUSTICE ALTERNATIVE PROG,240,240903006,Juvenille Justice Alternative Prog,S,08 - 12,N
240903,LYNDON B JOHNSON,240,240903009,Lyndon B Johnson,S,09 - 12,N
240903,YOUTH VILLAGE DETENTION CENTER,240,240903030,Youth Village Detention Center,S,08 - 11,N
240903,YOUTH RECOVERY HOME,240,240903031,Youth Recovery Home,S,08 - 11,N
240903,CASA ESPERANZA RECOVERY HOME,240,240903032,Casa Esperanza Recovery Home,M,07 - 09,N
240903,UNITED MIDDLE,240,240903041,United Middle School,M,06 - 08,N
240903,UNITED SOUTH MIDDLE,240,240903043,United South Middle School,M,06 - 08,N
240903,SALVADOR GARCIA MIDDLE,240,240903044,Salvador Garcia Middle School,M,06 - 08,N
240903,GEORGE WASHINGTON MIDDLE,240,240903045,George Washington Middle School,M,06 - 08,N
240903,CLARK MIDDLE,240,240903046,Clark Middle School,M,06 - 08,N
240903,LOS OBISPOS MIDDLE,240,240903047,Los Obispos Middle School,M,06 - 08,N
240903,TRAUTMANN MIDDLE,240,240903048,Trautmann Middle School,M,06 - 08,N
240903,ANTONIO GONZALEZ MIDDLE,240,240903053,Antonio Gonzalez Middle School,M,06 - 08,N
240903,LAMAR BRUNI VERGARA MIDDLE,240,240903054,Lamar Bruni Vergara Middle School,M,06 - 08,N
240903,RAUL PERALES MIDDLE,240,240903055,Raul Perales Middle School,M,06 - 08,N
240903,NYE EL,240,240903103,Nye Elementary School,E,EE - 05,N
240903,CLARK EL,240,240903105,Clark Elementary School,E,EE - 05,N
240903,SALINAS EL,240,240903107,Salinas Elementary School,E,EE - 05,N
240903,NEWMAN EL,240,240903109,Newman Elementary School,E,PK - 05,N
240903,TRAUTMANN EL,240,240903110,Trautmann Elementary School,E,EE - 05,N
240903,SIGIFREDO PEREZ EL,240,240903111,Sigifredo Perez Elementary School,E,EE - 05,N
240903,FINLEY EL,240,240903112,Finley Elementary School,E,EE - 05,N
240903,AMPARO GUTIERREZ EL,240,240903114,Amparo Gutierrez Elementary School,E,EE - 05,N
240903,RUIZ EL,240,240903115,Ruiz Elementary School,E,PK - 05,N
240903,MATIAS DE LLANO EL,240,240903116,Matias De Llano Elementary School,E,EE - 05,N
240903,KAZEN EL,240,240903117,Kazen Elementary School,E,EE - 05,N
240903,JUAREZ/LINCOLN EL,240,240903118,Juarez/Lincoln Elementary School,E,EE - 05,N
240903,PRADA EL,240,240903119,Prada Elementary School,E,PK - 05,N
240903,CHARLES BORCHERS EL,240,240903120,Charles Borchers Elementary School,E,EE - 05,N
240903,KENNEDY ZAPATA EL,240,240903121,Kennedy Zapata Elementary School,E,PK - 05,N
240903,COL SANTOS BENAVIDES EL,240,240903122,Col Santos Benavides Elementary School,E,EE - 05,N
240903,FRANKLIN D ROOSEVELT EL,240,240903123,Franklin D Roosevelt Elementary School,E,EE - 05,N
240903,JUDITH ZAFFIRINI EL,240,240903124,Judith Zaffirini Elementary School,E,PK - 05,N
240903,HENRY CUELLAR EL,240,240903125,Henry Cuellar Elementary School,E,PK - 05,N
240903,JULIA BIRD JONES MULLER EL,240,240903126,Julia Bird Jones Muller Elementary School,E,EE - 05,N
240903,JOHN W ARNDT EL,240,240903127,John W Arndt Elementary School,E,EE - 05,N
240903,BONNIE L GARCIA EL,240,240903128,Bonnie L Garcia Elementary School,E,PK - 05,N
240903,RODOLFO C CENTENO EL,240,240903129,Rodolfo C Centeno Elementary School,E,EE - 05,N
240903,DR MALAKOFF EL,240,240903130,Dr Malakoff Elementary School,E,EE - 05,N
240903,BARBARA FASKEN EL,240,240903131,Barbara Fasken Elementary School,E,EE - 05,N
240903,RADCLIFFE & SUE KILLAM EL,240,240903132,Radcliffe & Sue Killam Elementary School,E,EE - 05,N
240903,VETERANS MEMORIAL EL,240,240903133,Veterans Memorial Elementary School,E,EE - 05,N
240903,FREEDOM EL,240,240903134,Freedom Elementary School,E,PK - 05,N
240903,SAN ISIDRO EL,240,240903135,San Isidro Elementary School,E,EE - 05,N
240904,BRUNI H S,240,240904001,Bruni High School,S,09 - 12,N
240904,JJAEP,240,240904003,JJAEP,S,11 - 11,N
240904,BRUNI MIDDLE,240,240904041,Bruni Middle School,M,06 - 08,N
240904,OILTON EL,240,240904102,Oilton Elementary School,E,EE - 05,N
241901,BOLING H S,241,241901001,Boling High School,S,09 - 12,N
241901,IAGO J H,241,241901041,Iago Junior High,M,06 - 08,N
241901,NEWGULF EL,241,241901101,Newgulf Elementary School,E,EE - 05,N
241902,EAST BERNARD H S,241,241902001,East Bernard High School,S,09 - 12,N
241902,EAST BERNARD J H,241,241902041,East Bernard Junior High,M,05 - 08,N
241902,EAST BERNARD EL,241,241902101,East Bernard Elementary School,E,PK - 04,N
241903,EL CAMPO H S,241,241903001,El Campo High School,S,09 - 12,N
241903,EL CAMPO MIDDLE,241,241903041,El Campo Middle School,M,06 - 08,N
241903,HUTCHINS EL,241,241903102,Hutchins Elementary School,E,01 - 03,N
241903,NORTHSIDE EL,241,241903103,Northside Elementary School,E,04 - 05,N
241903,MYATT EL,241,241903107,Myatt Elementary School,E,EE - KG,N
241904,WHARTON H S,241,241904001,Wharton High School,S,09 - 12,N
241904,WHARTON J H,241,241904042,Wharton Junior High,M,07 - 08,N
241904,C G SIVELLS EL,241,241904102,C G Sivells Elementary School,E,EE - 02,N
241904,WHARTON EL,241,241904106,Wharton Elementary School,E,03 - 06,N
241906,LOUISE H S,241,241906001,Louise High School,S,09 - 12,N
241906,LOUISE J H,241,241906041,Louise Junior High,M,06 - 08,N
241906,LOUISE EL,241,241906101,Louise Elementary School,E,PK - 05,N
242902,SHAMROCK H S,242,242902001,Shamrock High School,S,09 - 12,N
242902,SHAMROCK MIDDLE,242,242902041,Shamrock Middle School,M,06 - 08,N
242902,SHAMROCK EL,242,242902101,Shamrock Elementary School,E,PK - 05,N
242903,WHEELER SCHOOL,242,242903001,Wheeler School,B,PK - 12,N
242905,KELTON SCHOOL,242,242905001,Kelton School,B,PK - 12,N
242906,FORT ELLIOTT SCHOOL,242,242906001,Fort Elliott School,B,PK - 12,N
243901,BURKBURNETT H S,243,243901001,Burkburnett High School,S,09 - 12,N
243901,GATEWAY STUDENT SUPPORT CTR,243,243901002,Gateway Student Support Center,S,10 - 12,N
243901,WICHITA CO JJAEP,243,243901003,Wichita Co JJAEP,S,11 - 12,N
243901,BURKBURNETT MIDDLE,243,243901041,Burkburnett Middle School,M,06 - 08,N
243901,OVERTON RAY EL,243,243901101,Overton Ray Elementary School,E,03 - 05,N
243901,JOHN G TOWER EL,243,243901103,John G Tower Elementary School,E,EE - 05,N
243901,I C EVANS EL,243,243901104,I C Evans Elementary School,E,EE - 02,N
243902,ELECTRA JUNIOR/SENIOR HIGH,243,243902001,Electra Junior/Senior High,S,07 - 12,N
243902,ELECTRA EL,243,243902101,Electra Elementary School,E,EE - 06,N
243903,IOWA PARK H S,243,243903001,Iowa Park High School,S,09 - 12,N
243903,IOWA PARK JJAEP,243,243903002,Iowa Park JJAEP,B,06 - 12,N
