DISTRICT,CAMPNAME,COUNTY,CAMPUS,CAMPNAME_CLEAN,GRDTYPE,GRDSPAN,CFLCHART
15801,CESAR E CHAVEZ ACADEMY,15,15801003,Cesar E Chavez Academy,S,09 - 12,Y
15802,GEORGE GERVIN ACADEMY,15,15802001,George Gervin Academy,B,PK - 12,Y
15802,RUTH JONES MCCLENDON MIDDLE,15,15802004,Ruth Jones McClendon Middle School,B,06 - 12,Y
15805,FRANK L MADLA EARLY COLLEGE H S,15,15805001,Frank L Madla Early College High School,S,09 - 12,Y
15805,FRANK L MADLA ACCELERATED COLLEGIA,15,15805041,Frank L Madla Accelerated Collegia,E,PK - 08,Y
15806,MILTON B LEE ACADEMY OF SCIENCE &,15,15806003,Milton B Lee Academy Of Science &,S,09 - 12,Y
15806,DR PAUL S SAENZ J H,15,15806041,Dr Paul S Saenz Junior High,M,07 - 08,Y
15806,DR HARMON W KELLEY EL,15,15806101,Dr Harmon W Kelley Elementary School,E,PK - 06,Y
15806,DR DAVID C WALKER EL,15,15806106,Dr David C Walker Elementary School,E,PK - 06,Y
15807,SOUTHWEST PREPARATORY SCHOOL,15,15807001,Southwest Preparatory School,E,PK - 05,Y
15807,SOUTHWEST PREPARATORY SOUTHEAST CA,15,15807002,Southwest Preparatory Southeast Ca,B,PK - 12,Y
15807,SOUTHWEST PREPARATORY SCHOOL-NORTH,15,15807004,Southwest Preparatory School-North,B,06 - 12,Y
15807,NEW DIRECTIONS,15,15807005,New Directions,B,06 - 12,Y
15807,SOUTHWEST PREP NORTHWEST EL,15,15807101,Southwest Prep Northwest Elementary School,E,PK - 05,Y
15807,SEGUIN EL,15,15807102,Seguin Elementary School,E,PK - 07,Y
15808,JHW INSPIRE ACADEMY - AFTON OAKS,15,15808001,Jhw Inspire Academy - Afton Oaks,B,06 - 12,Y
