CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN
7902101,7902,JOURDANTON EL,7,JOURDANTON ISD,20,ATASCOSA,E,EE - 05,N,N, , ,Jourdanton Elementary School
7904001,7904,LYTLE H S,7,LYTLE ISD,20,ATASCOSA,S,09 - 12,N,N, , ,Lytle High School
7904002,7904,LYTLE DAEP,7,LYTLE ISD,20,ATASCOSA,B,04 - 09,N,N, , ,Lytle DAEP
7904003,7904,JJAEP,7,LYTLE ISD,20,ATASCOSA,M,08 - 08,N,N, , ,JJAEP
7904041,7904,LYTLE J H,7,LYTLE ISD,20,ATASCOSA,M,06 - 08,N,N, , ,Lytle Junior High
7904101,7904,LYTLE EL,7,LYTLE ISD,20,ATASCOSA,E,02 - 05,N,N, , ,Lytle Elementary School
7904103,7904,LYTLE PRIMARY SCHOOL,7,LYTLE ISD,20,ATASCOSA,E,EE - 01,N,N,007904101,LYTLE EL,Lytle Primary School
7905001,7905,PLEASANTON H S,7,PLEASANTON ISD,20,ATASCOSA,S,09 - 12,N,N, , ,Pleasanton High School
7905004,7905,ATASCOSA CO ALTER,7,PLEASANTON ISD,20,ATASCOSA,M,08 - 09,N,N, , ,Atascosa Co Alter
7905005,7905,PLEASANTON ISD SCHOOL OF CHOICE,7,PLEASANTON ISD,20,ATASCOSA,S,10 - 12,N,Y, , ,Pleasanton Isd School Of Choice
7905041,7905,PLEASANTON J H,7,PLEASANTON ISD,20,ATASCOSA,M,06 - 08,N,N, , ,Pleasanton Junior High
7905103,7905,PLEASANTON EL,7,PLEASANTON ISD,20,ATASCOSA,E,02 - 05,N,N, , ,Pleasanton Elementary School
7905105,7905,PLEASANTON PRI,7,PLEASANTON ISD,20,ATASCOSA,E,EE - 01,N,N,007905103,PLEASANTON EL,Pleasanton Primary School
7906001,7906,POTEET H S,7,POTEET ISD,20,ATASCOSA,S,09 - 12,N,N, , ,Poteet High School
7906041,7906,POTEET J H,7,POTEET ISD,20,ATASCOSA,M,06 - 08,N,N, , ,Poteet Junior High
7906101,7906,POTEET EL,7,POTEET ISD,20,ATASCOSA,E,EE - 03,N,N, , ,Poteet Elementary School
7906102,7906,POTEET INT,7,POTEET ISD,20,ATASCOSA,E,04 - 05,N,N, , ,Poteet Intermediate School
8901001,8901,BELLVILLE H S,8,BELLVILLE ISD,6,AUSTIN,S,09 - 12,N,N, , ,Bellville High School
8901041,8901,BELLVILLE J H,8,BELLVILLE ISD,6,AUSTIN,M,06 - 08,N,N, , ,Bellville Junior High
8901101,8901,O'BRYANT PRI,8,BELLVILLE ISD,6,AUSTIN,E,EE - 03,N,N, , ,O'Bryant Primary School
8901102,8901,O'BRYANT INT,8,BELLVILLE ISD,6,AUSTIN,E,04 - 05,N,N, , ,O'Bryant Intermediate School
8901105,8901,WEST END EL,8,BELLVILLE ISD,6,AUSTIN,E,KG - 05,N,N, , ,West End Elementary School
8902001,8902,SEALY H S,8,SEALY ISD,6,AUSTIN,S,09 - 12,N,N, , ,Sealy High School
8902041,8902,SEALY J H,8,SEALY ISD,6,AUSTIN,M,06 - 08,N,N, , ,Sealy Junior High
8902102,8902,SELMAN EL,8,SEALY ISD,6,AUSTIN,E,EE - 05,N,N, , ,Selman Elementary School
8902104,8902,SEALY EL,8,SEALY ISD,6,AUSTIN,E,PK - 05,N,N, , ,Sealy Elementary School
8903001,8903,BRAZOS H S,8,BRAZOS ISD,6,AUSTIN,S,09 - 12,N,N, , ,Brazos High School
8903041,8903,BRAZOS MIDDLE,8,BRAZOS ISD,6,AUSTIN,M,06 - 08,N,N, , ,Brazos Middle School
8903102,8903,BRAZOS EL,8,BRAZOS ISD,6,AUSTIN,E,PK - 05,N,N, , ,Brazos Elementary School
8903103,8903,PRAIRIE HARBOR ALTERNATIVE SCHOOL,8,BRAZOS ISD,6,AUSTIN,B,06 - 12,N,Y, , ,Prairie Harbor Alternative School
9901001,9901,MULESHOE H S,9,MULESHOE ISD,17,BAILEY,S,09 - 12,N,N, , ,Muleshoe High School
9901002,9901,P E P,9,MULESHOE ISD,17,BAILEY,S,09 - 12,N,Y, , ,P E P
9901041,9901,WATSON J H,9,MULESHOE ISD,17,BAILEY,M,06 - 08,N,N, , ,Watson Junior High
9901101,9901,MARY DESHAZO EL,9,MULESHOE ISD,17,BAILEY,E,03 - 05,N,N, , ,Mary Deshazo Elementary School
9901103,9901,DILLMAN EL,9,MULESHOE ISD,17,BAILEY,E,EE - 02,N,N,009901101,MARY DESHAZO EL,Dillman Elementary School
10901001,10901,MEDINA SCHOOL,10,MEDINA ISD,20,BANDERA,B,PK - 12,N,N, , ,Medina School
10902001,10902,BANDERA H S,10,BANDERA ISD,20,BANDERA,S,09 - 12,N,N, , ,Bandera High School
10902041,10902,BANDERA MIDDLE,10,BANDERA ISD,20,BANDERA,M,06 - 08,N,N, , ,Bandera Middle School
10902101,10902,ALKEK EL,10,BANDERA ISD,20,BANDERA,E,EE - 05,N,N, , ,Alkek Elementary School
10902102,10902,HILL COUNTRY EL,10,BANDERA ISD,20,BANDERA,E,EE - 05,N,N, , ,Hill Country Elementary School
11901001,11901,BASTROP H S,11,BASTROP ISD,13,BASTROP,S,09 - 12,N,N, , ,Bastrop High School
11901002,11901,CEDAR CREEK H S,11,BASTROP ISD,13,BASTROP,S,09 - 12,N,N, , ,Cedar Creek High School
11901005,11901,COLORADO RIVER COLLEGIATE ACADEMY,11,BASTROP ISD,13,BASTROP,S,09 - 12,N,N, , ,Colorado River Collegiate Academy
11901022,11901,GENESIS H S,11,BASTROP ISD,13,BASTROP,S,09 - 12,N,Y, , ,Genesis High School
11901041,11901,BASTROP MIDDLE,11,BASTROP ISD,13,BASTROP,M,07 - 08,N,N, , ,Bastrop Middle School
11901101,11901,EMILE EL,11,BASTROP ISD,13,BASTROP,E,PK - 04,N,N, , ,Emile Elementary School
11901102,11901,MINA EL,11,BASTROP ISD,13,BASTROP,E,EE - 04,N,N, , ,Mina Elementary School
11901103,11901,CEDAR CREEK EL,11,BASTROP ISD,13,BASTROP,E,EE - 04,N,N, , ,Cedar Creek Elementary School
11901104,11901,BASTROP INT,11,BASTROP ISD,13,BASTROP,M,05 - 06,N,N, , ,Bastrop Intermediate School
11901106,11901,CEDAR CREEK MIDDLE,11,BASTROP ISD,13,BASTROP,M,07 - 08,N,N, , ,Cedar Creek Middle School
11901107,11901,RED ROCK EL,11,BASTROP ISD,13,BASTROP,E,PK - 04,N,N, , ,Red Rock Elementary School
11901108,11901,CEDAR CREEK INT,11,BASTROP ISD,13,BASTROP,M,05 - 06,N,N, , ,Cedar Creek Intermediate School
11901109,11901,BLUEBONNET EL,11,BASTROP ISD,13,BASTROP,E,PK - 04,N,N, , ,Bluebonnet Elementary School
11901110,11901,LOST PINES EL,11,BASTROP ISD,13,BASTROP,E,PK - 04,N,N, , ,Lost Pines Elementary School
11902001,11902,ELGIN H S,11,ELGIN ISD,13,BASTROP,S,09 - 12,N,N, , ,Elgin High School
11902003,11902,BASTROP COUNTY JUVENILE BOOT CAMP,11,ELGIN ISD,13,BASTROP,S,07 - 10,N,N, , ,Bastrop County Juvenile Boot Camp
11902004,11902,PHOENIX H S,11,ELGIN ISD,13,BASTROP,S,09 - 12,N,Y, , ,Phoenix High School
11902041,11902,ELGIN MIDDLE,11,ELGIN ISD,13,BASTROP,M,06 - 08,N,N, , ,Elgin Middle School
11902101,11902,BOOKER T WASHINGTON EL,11,ELGIN ISD,13,BASTROP,E,KG - 05,N,N, , ,Booker T Washington Elementary School
11902102,11902,ELGIN EL,11,ELGIN ISD,13,BASTROP,E,EE - 05,N,N, , ,Elgin Elementary School
11902103,11902,NEIDIG EL,11,ELGIN ISD,13,BASTROP,E,KG - 05,N,N, , ,Neidig Elementary School
11904002,11904,SMITHVILLE H S,11,SMITHVILLE ISD,13,BASTROP,S,09 - 12,N,N, , ,Smithville High School
11904041,11904,SMITHVILLE J H,11,SMITHVILLE ISD,13,BASTROP,M,06 - 08,N,N, , ,Smithville Junior High
11904101,11904,SMITHVILLE EL,11,SMITHVILLE ISD,13,BASTROP,E,03 - 05,N,N, , ,Smithville Elementary School
11904102,11904,BROWN PRI,11,SMITHVILLE ISD,13,BASTROP,E,EE - 02,N,N,011904101,SMITHVILLE EL,Brown Primary School
11905001,11905,MCDADE H S,11,MCDADE ISD,13,BASTROP,S,07 - 12,N,N, , ,McDade High School
11905011,11905,MCDADE JJAEP,11,MCDADE ISD,13,BASTROP,S,10 - 10,N,N, , ,McDade JJAEP
11905101,11905,MCDADE EL,11,MCDADE ISD,13,BASTROP,E,PK - 06,N,N, , ,McDade Elementary School
12901001,12901,SEYMOUR H S,12,SEYMOUR ISD,9,BAYLOR,S,09 - 12,N,N, , ,Seymour High School
12901042,12901,SEYMOUR MIDDLE,12,SEYMOUR ISD,9,BAYLOR,M,05 - 08,N,N, , ,Seymour Middle School
12901101,12901,SEYMOUR EL,12,SEYMOUR ISD,9,BAYLOR,E,PK - 04,N,N, , ,Seymour Elementary School
13801101,13801,ST MARY'S ACADEMY CHARTER SCHOOL,13,ST MARY'S ACADEMY CHARTER SCHOOL,2,BEE,E,KG - 06,Y,N, , ,St Mary'S Academy Charter School
13901001,13901,A C JONES H S,13,BEEVILLE ISD,2,BEE,S,09 - 12,N,N, , ,A C Jones High School
13901004,13901,A C JONES HEALTH PROFESSIONS MAGNE,13,BEEVILLE ISD,2,BEE,S,09 - 11,N,N, , ,A C Jones Health Professions Magne
13901041,13901,MORENO J H,13,BEEVILLE ISD,2,BEE,M,06 - 08,N,N, , ,Moreno Junior High
13901042,13901,THE JOE BARNHART ACADEMY,13,BEEVILLE ISD,2,BEE,M,06 - 08,N,N, , ,The Joe Barnhart Academy
13901101,13901,R A HALL EL,13,BEEVILLE ISD,2,BEE,E,01 - 05,N,N, , ,R A Hall Elementary School
13901102,13901,FADDEN-MCKEOWN-CHAMBLISS EL,13,BEEVILLE ISD,2,BEE,E,01 - 05,N,N, , ,Fadden-McKeown-Chambliss Elementary School
