CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLCHART,CFLALTED,PAIRCAMP,PAIRNAME,CAMPNAME_CLEAN,CD1G,CD2G,CD3G,C_RATING
003905041,3905.0,DIBOLL J H,3.0,DIBOLL ISD,7.0,ANGELINA,M,06 - 08,N,N, , ,Diboll Junior High,C,B,C,B
003905101,3905.0,H G TEMPLE EL,3.0,DIBOLL ISD,7.0,ANGELINA,E,KG - 02,N,N,003905103,H G TEMPLE INT,H G Temple Elementary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
003905102,3905.0,DIBOLL PRI,3.0,DIBOLL ISD,7.0,ANGELINA,E,PK - PK,N,N,003905103,H G TEMPLE INT,Diboll Primary School,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,B
003905103,3905.0,H G TEMPLE INT,3.0,DIBOLL ISD,7.0,ANGELINA,E,03 - 05,N,N, , ,H G Temple Intermediate School,C,B,C,B
003906001,3906.0,ZAVALLA H S,3.0,ZAVALLA ISD,7.0,ANGELINA,B,06 - 12,N,N, , ,Zavalla High School,B,B,C,B
003906004,3906.0,STUBBLEFIELD LRN CTR,3.0,ZAVALLA ISD,7.0,ANGELINA,S,11 - 11,N,Y, , ,Stubblefield Learning Center,Not Rated,Not Rated,Not Rated,Not Rated
003906101,3906.0,ZAVALLA EL,3.0,ZAVALLA ISD,7.0,ANGELINA,E,PK - 05,N,N, , ,Zavalla Elementary School,C,B,D,C
003907001,3907.0,CENTRAL H S,3.0,CENTRAL ISD,7.0,ANGELINA,S,09 - 12,N,N, , ,Central High School,B,B,C,B
003907004,3907.0,STUBBLEFIELD LRN CTR,3.0,CENTRAL ISD,7.0,ANGELINA,S,12 - 12,N,Y, , ,Stubblefield Learning Center,Not Rated,Not Rated,Not Rated,Not Rated
003907041,3907.0,CENTRAL J H,3.0,CENTRAL ISD,7.0,ANGELINA,M,05 - 08,N,N, , ,Central Junior High,B,B,A,A
003907102,3907.0,CENTRAL EL,3.0,CENTRAL ISD,7.0,ANGELINA,E,EE - 04,N,N, , ,Central Elementary School,C,C,D,C
004901001,4901.0,ROCKPORT-FULTON H S,4.0,ARANSAS COUNTY ISD,2.0,ARANSAS,S,09 - 12,N,N, , ,Rockport-Fulton High School,B,A,B,B
004901041,4901.0,ROCKPORT-FULTON MIDDLE,4.0,ARANSAS COUNTY ISD,2.0,ARANSAS,M,06 - 08,N,N, , ,Rockport-Fulton Middle School,C,B,D,C
004901101,4901.0,FULTON LEARNING CENTER,4.0,ARANSAS COUNTY ISD,2.0,ARANSAS,E,03 - 05,N,N, , ,Fulton Learning Center,C,C,C,C
004901103,4901.0,LIVE OAK LEARNING CENTER,4.0,ARANSAS COUNTY ISD,2.0,ARANSAS,E,EE - 02,N,N,004901101,FULTON LEARNING CENTER,Live Oak Learning Center,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,C
005901001,5901.0,ARCHER CITY H S,5.0,ARCHER CITY ISD,9.0,ARCHER,S,07 - 12,N,N, , ,Archer City High School,A,A,A,A
005901101,5901.0,ARCHER CITY EL,5.0,ARCHER CITY ISD,9.0,ARCHER,E,EE - 06,N,N, , ,Archer City Elementary School,A,A,B,A
