DISTRICT,DD3G,DD3S,COUNTY,CNTYNAME,DDALLS,D_RATING,DFLALTED,DFLCHART,DFLNEWDIST,DISTNAME,REGION,REGNNAME,DD2G,DD2S,DD2AG,DD2AS,DD2BG,DD2BS,DD1G,DD1S,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP
031912,C,70.0,31,CAMERON,76.0,C,N,N,N,SAN BENITO CISD,1,REGION 01: EDINBURG,C,78.0,D,66.0,C,78.0,C,71.0,6910,73.9,9348,0,0.0,8106,2516,26.9,0,0.0,1119,12.0,0,0.0
031913,C,70.0,31,CAMERON,71.0,C,N,N,N,SANTA MARIA ISD,1,REGION 01: EDINBURG,C,71.0,D,63.0,C,71.0,D,67.0,405,71.7,565,0,0.0,564,269,47.6,0,0.0,51,9.0,0,0.0
031914,C,71.0,31,CAMERON,75.0,C,N,N,N,SANTA ROSA ISD,1,REGION 01: EDINBURG,C,77.0,D,68.0,C,77.0,C,73.0,690,75.4,915,19,2.1,804,194,21.2,0,0.0,132,14.4,0,0.0
031916,A,97.0,31,CAMERON,94.0,A,N,N,N,SOUTH TEXAS ISD,1,REGION 01: EDINBURG,A,92.0,B,86.0,A,92.0,A,93.0,4345,100.0,4345,0,0.0,2413,654,15.1,0,0.0,207,4.8,0,0.0
032902,B,85.0,32,CAMP,86.0,B,N,N,N,PITTSBURG ISD,8,REGION 08: MT PLEASANT,B,87.0,C,73.0,B,87.0,B,85.0,1746,74.0,2358,0,0.0,1918,499,21.2,0,0.0,302,12.8,0,0.0
033901,A,92.0,33,CARSON,89.0,B,N,N,N,GROOM ISD,16,REGION 16: AMARILLO,B,81.0,F,59.0,B,81.0,B,88.0,119,79.9,149,0,0.0,51,1,0.7,0,0.0,32,21.5,0,0.0
033902,B,82.0,33,CARSON,88.0,B,N,N,N,PANHANDLE ISD,16,REGION 16: AMARILLO,B,84.0,B,80.0,B,84.0,A,90.0,480,73.1,657,0,0.0,198,13,2.0,0,0.0,93,14.2,0,0.0
033904,C,76.0,33,CARSON,82.0,B,N,N,N,WHITE DEER ISD,16,REGION 16: AMARILLO,B,85.0,B,85.0,C,75.0,C,76.0,249,74.6,334,0,0.0,178,9,2.7,0,0.0,45,13.5,0,0.0
034901,B,85.0,34,CASS,85.0,B,N,N,N,ATLANTA ISD,8,REGION 08: MT PLEASANT,B,85.0,C,79.0,B,85.0,B,84.0,1294,68.9,1877,0,0.0,1231,46,2.5,0,0.0,263,14.0,0,0.0
034902,B,86.0,34,CASS,82.0,B,N,N,N,AVINGER ISD,8,REGION 08: MT PLEASANT,B,80.0,C,74.0,B,80.0,C,79.0,100,81.3,123,0,0.0,96,0,0.0,0,0.0,17,13.8,0,0.0
