CAMPUS,C20GP14R,C20GV14R,C2CRB13R,C2CRB14R,C2CRM13R,C2CRM14R,C2CRR13R,C2CRR14R,C30GP14R,C30GV14R,C3CRB13R,C3CRB14R,C3CRM13R,C3CRM14R,C3CRR13R,C3CRR14R,C40GP14R,C40GV14R,C4CRB13R,C4CRB14R,C4CRM13R,C4CRM14R,C4CRR13R,C4CRR14R,CA0GP14R,CA0GV14R,CACRB13R,CACRB14R,CACRM13R,CACRM14R,CACRR13R,CACRR14R,CB0GP14R,CB0GV14R,CBCRB13R,CBCRB14R,CBCRM13R,CBCRM14R,CBCRR13R,CBCRR14R,CE0GP14R,CE0GV14R,CECRB13R,CECRB14R,CECRM13R,CECRM14R,CECRR13R,CECRR14R,CF0GP14R,CF0GV14R,CFCRB13R,CFCRB14R,CFCRM13R,CFCRM14R,CFCRR13R,CFCRR14R,CH0GP14R,CH0GV14R,CHCRB13R,CHCRB14R,CHCRM13R,CHCRM14R,CHCRR13R,CHCRR14R,CI0GP14R,CI0GV14R,CICRB13R,CICRB14R,CICRM13R,CICRM14R,CICRR13R,CICRR14R,CL0GP14R,CL0GV14R,CLCRB13R,CLCRB14R,CLCRM13R,CLCRM14R,CLCRR13R,CLCRR14R,CM0GP14R,CM0GV14R,CMCRB13R,CMCRB14R,CMCRM13R,CMCRM14R,CMCRR13R,CMCRR14R,CR0GP14R,CR0GV14R,CRCRB13R,CRCRB14R,CRCRM13R,CRCRM14R,CRCRR13R,CRCRR14R,CS0GP14R,CS0GV14R,CSCRB13R,CSCRB14R,CSCRM13R,CSCRM14R,CSCRR13R,CSCRR14R,CW0GP14R,CW0GV14R,CWCRB13R,CWCRB14R,CWCRM13R,CWCRM14R,CWCRR13R,CWCRR14R
"026901001",-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,66.9,39.5,65,45,76,59,73,58,60,6.5,31,9,38,27,57,33,61,14.5,53,26,70,26,64,42,67.7,25,73,39,82,48,79,58,64.9,12.1,48,31,72,43,52,49,.,.,-1,.,-1,.,-1,.,60,2.4,-1,0,-1,0,-1,0,66.1,14.5,57,51,70,70,68,57,38.5,5.6,27,11,45,17,50,29,15.4,1.6,11,0,22,0,11,0,70.4,21,79,59,87,72,86,68
"026901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"026901042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"026901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"026902001",-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54.5,3,52,38,64,38,65,50,22.2,0,-1,17,-1,17,-1,29,51.9,3,50,37,70,37,64,55,58.8,0,62,33,69,33,79,50,80,0,30,50,50,50,55,70,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,50,3,38,42,56,42,44,50,42.9,3,17,14,29,14,25,44,0,0,-1,.,-1,.,-1,-1,50,3,88,33,88,33,88,29
"026902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"026903002",.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74.1,44.4,59,48,74,64,63,54,77.8,18.5,25,33,50,33,38,44,76.9,22.2,43,42,71,58,50,46,61.5,7.4,50,73,64,73,57,83,66.7,14.8,-1,38,-1,75,-1,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85.7,37,69,29,85,57,69,29,64.3,25.9,0,25,20,33,20,38,-1,-1,-1,-1,-1,-1,-1,-1,77.8,11.1,64,75,79,88,64,75
"026903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"027903001",-1,-1,-1,-1,-1,-1,40,-1,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,87.8,76.6,45,43,67,56,54,58,-1,-1,-1,-1,-1,-1,-1,-1,82.4,32.2,35,30,61,46,41,47,88.3,34.1,45,40,62,48,56,60,88.4,16.6,31,28,64,41,34,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,87.4,42.4,44,46,71,63,52,56,80.5,27.3,14,15,34,27,29,33,72.7,7.8,0,0,8,8,7,8,88.5,58.5,48,48,68,61,60,62
"027903003",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.9,0,7,20,36,18,47,40,.,.,-1,.,-1,.,-1,.,5,0,13,14,50,13,50,43,0,0,0,0,30,0,50,29,0,0,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18.2,0,-1,-1,-1,-1,40,-1,4.3,0,0,17,25,14,44,17,-1,-1,.,.,.,.,.,.,8.7,0,8,22,33,22,46,44
