DISTRICT,DISTNAME,District Number,District Name
187907,LIVINGSTON ISD,187907,Livingston ISD
187910,ONALASKA ISD,187910,Onalaska ISD
188801,RICHARD MILBURN ACADEMY (AMARILLO),188801,Richard Milburn Academy (Amarillo) (C)
188901,AMARILLO ISD,188901,Amarillo ISD
188902,RIVER ROAD ISD,188902,River Road ISD
188903,HIGHLAND PARK ISD,188903,Highland Park ISD
188904,BUSHLAND ISD,188904,Bushland ISD
189901,MARFA ISD,189901,Marfa ISD
189902,PRESIDIO ISD,189902,Presidio ISD
190903,RAINS ISD,190903,Rains ISD
191901,CANYON ISD,191901,Canyon ISD
192901,REAGAN COUNTY ISD,192901,Reagan County ISD
193801,BIG SPRINGS CHARTER SCHOOL,193801,Big Springs Charter School (C)
193902,LEAKEY ISD,193902,Leakey ISD
194902,AVERY ISD,194902,Avery ISD
194903,RIVERCREST ISD,194903,Rivercrest ISD
194904,CLARKSVILLE ISD,194904,Clarksville ISD
194905,DETROIT ISD,194905,Detroit ISD
195901,PECOS-BARSTOW-TOYAH ISD,195901,Pecos-Barstow-Toyah ISD
195902,BALMORHEA ISD,195902,Balmorhea ISD
196901,AUSTWELL-TIVOLI ISD,196901,Austwell-Tivoli ISD
196902,WOODSBORO ISD,196902,Woodsboro ISD
196903,REFUGIO ISD,196903,Refugio ISD
197902,MIAMI ISD,197902,Miami ISD
198901,BREMOND ISD,198901,Bremond ISD
198902,CALVERT ISD,198902,Calvert ISD
198903,FRANKLIN ISD,198903,Franklin ISD
198905,HEARNE ISD,198905,Hearne ISD
198906,MUMFORD ISD,198906,Mumford ISD
199901,ROCKWALL ISD,199901,Rockwall ISD
199902,ROYSE CITY ISD,199902,Royse City ISD
200901,BALLINGER ISD,200901,Ballinger ISD
200902,MILES ISD,200902,Miles ISD
200904,WINTERS ISD,200904,Winters ISD
200906,OLFEN ISD,200906,Olfen ISD
201902,HENDERSON ISD,201902,Henderson ISD
201903,LANEVILLE ISD,201903,Laneville ISD
