id,name,Campus Number,Campus Name
15808008,GARZA COUNTY,15808008,Garza County (C)
15809101,BEXAR COUNTY ACADEMY,15809101,Bexar County Academy (C)
15814001,POSITIVE SOLUTIONS CHARTER,15814001,Positive Solutions Charter (C)
15815001,RADIANCE ACADEMY OF LEARNING,15815001,Radiance Academy Of Learning
15815041,RADIANCE ACADEMY OF LEARNING (DEL,15815041,Radiance Academy Of Learning Del Rio (C)
15815101,RADIANCE ACADEMY OF LEARNING WESTL,15815101,Radiance Academy Of Learning West Lake Campus (C)
15815102,RADIANCE ACADEMY OF LEARNING (INTE,15815102,Radiance Academy Of Learning International (C)
15815103,RADIANCE ACADEMY OF LEARNING (DAYS,15815103,Radiance Academy Of Learning Daystar (C)
15815104,RADIANCE ACADEMY OF LEARNING (ABUN,15815104,Radiance Academy Of Learning Abundant Life San Antonio (C)
15816001,ACADEMY OF CAREERS AND TECHNOLOGIE,15816001,Academy Of Careers And Technologies Charter School (C)
15817001,SAN ANTONIO CAN H S,15817001,San Antonio Can High School (C)
15819001,SHEKINAH RADIANCE ACADEMY,15819001,Shekinah Radiance Academy (C)
15819002,WASHINGTON TYRANNUS SCHOOL OF THE,15819002,Washington Tyrannus School Of The Arts (C)
15819101,SHEKINAH HOPE,15819101,Shekinah Hope (C)
15819102,SHEKINAH WALZEM,15819102,Shekinah Walzem (C)
15819105,WEST COLUMBIA CHARTER SCH,15819105,West Columbia Charter School (C)
15819106,VILLAGE AT SOUTH PARK,15819106,Village At South Park (C)
15819107,SHEKINAH RADIANCE ACADEMY (DALLAS,15819107,Shekinah Radiance Academy Dallas Center (C)
15819108,SHEKINAH RADIANCE ACADEMY (GARLAND,15819108,Shekinah Radiance Academy Garland (C)
15820001,SAN ANTONIO SCHOOL FOR INQUIRY,15820001,San Antonio School For Inquiry & Creativity (C)
15820002,MONTICELLO,15820002,Monticello (C)
15822001,JUBILEE ACADEMY,15822001,Jubilee Academy (C)
15822002,ALPHA ACADEMY,15822002,Alpha Academy (C)
15822003,BCFS - HARLINGEN,15822003,BCFS - Harlingen (C)
15822004,ALAMO LEADERSHIP ACADEMY,15822004,Alamo Leadership Academy
15822005,HIGHLAND PARK GIFTED AND TALENTED,15822005,Highland Park Gifted & Talented Academy (C)
15822006,KINGSWAY LEADERSHIP ACADEMY,15822006,Kingsway Leadership Academy
15822007,LIVING WAY LEADERSHIP ACADEMY,15822007,Living Way Leadership Academy
15822008,HARLINGEN LEADERSHIP ACADEMY,15822008,Harlingen Leadership Academy
15823001,SAN ANTONIO TECHNOLOGY ACADEMY,15823001,San Antonio Technology Academy (C)
15825101,LIGHTHOUSE CHARTER SCHOOL,15825101,Lighthouse Charter School (C)
15826001,KIPP UNIVERSITY PREP H S,15826001,KIPP University Prep High School (C)
15826041,KIPP ASPIRE ACADEMY,15826041,KIPP Aspire Academy (C)
15826042,KIPP CAMINO ACADEMY,15826042,KIPP Camino Academy (C)
15826101,KIPP UN MUNDO DUAL LANGUAGE ACADEM,15826101,Kipp Un Mundo Dual Language Academ
15827001,SCHOOL OF SCIENCE AND TECH-SAN A,15827001,School Of Science And Technology (C)
15827002,SCHOOL OF SCIENCE AND TECH-ALAMO,15827002,School Of Science And Technology (C)
15828001,HARMONY SCIENCE ACAD-SAN ANTONIO,15828001,Harmony Science Academy San Antonio (C)
15828002,HARMONY SCHOOL OF INNOVATION - SAN,15828002,Harmony School Of Innovation - San Antonio (C)
15828003,HARMONY SCIENCE ACADEMY - LAREDO,15828003,Harmony Science Academy - Laredo
15830001,BROOKS ACADEMY OF SCIENCE AND ENGI,15830001,Brooks Academy Of Science And Engineering (C)
15831001,SCHOOL OF SCIENCE AND TECH-DISCO,15831001,School Of Science And Technology Discovery (C)
15831002,SCHOOL OF SCIENCE AND TECHNOLOGY C,15831002,School Of Science And Technology C
15832001,CITY CENTER HEALTH CAREERS,15832001,City Center Health Careers (C)
15833001,HENRY FORD ACADEMY ALAMEDA SCHOOL,15833001,Henry Ford Academy Alameda School (C)
15901001,ALAMO HEIGHTS H S,15901001,Alamo Heights High School
15901041,ALAMO HEIGHTS J H,15901041,Alamo Heights Junior High School
15901101,CAMBRIDGE EL,15901101,Cambridge Elementary School
15901102,HOWARD EL,15901102,Howard Elementary School
15901104,WOODRIDGE EL,15901104,Woodridge Elementary School
15904001,HARLANDALE H S,15904001,Harlandale High School
15904002,MCCOLLUM H S,15904002,McCollum High School
15904003,HAC DAEP H S,15904003,Harlandale Alternative Center DAEP High School
15904004,FRANK M TEJEDA ACADEMY,15904004,Frank M Tejeda Academy
15904007,BEXAR CO J J A E P,15904007,Bexar County JJAEP
15904008,HARLANDALE ALTERNATIVE CENTER BOOT,15904008,Harlandale Alternative Center Boot High School
15904010,FENLEY TRANSITIONAL H S,15904010,Fenley Transitional High School
15904041,HARLANDALE MIDDLE,15904041,Harlandale Middle School
15904042,A LEAL JR MIDDLE,15904042,A Leal Jr Middle School
15904043,TERRELL WELLS MIDDLE,15904043,Terrell Wells Middle School
15904044,KINGSBOROUGH MIDDLE,15904044,Kingsborough Middle School
15904045,HAC DAEP MIDDLE,15904045,Harlandale Alternative Center DAEP Middle School
15904046,HARLANDALE ALTERNATIVE CENTER BOOT,15904046,Harlandale Alternative Center Boot Middle School
15904047,FENLEY TRANSITIONAL MIDDLE,15904047,Fenley Transitional Middle School
15904048,TEJEDA JUNIOR ACADEMY,15904048,Tejeda Junior High School Academy
15904101,CARROLL BELL EL,15904101,Carroll Bell Elementary School
15904102,BELLAIRE EL,15904102,Bellaire Elementary School
15904103,COLLIER EL,15904103,Collier Elementary School
15904104,COLUMBIA HEIGHTS EL,15904104,Columbia Heights Elementary School
15904105,STONEWALL/FLANDERS ELEMENTARY,15904105,Stonewall/Flanders Elementary School
15904106,V M ADAMS EL,15904106,VM Adams Elementary School
15904107,GILLETTE EL,15904107,Gillette Elementary School
15904108,H W SCHULZE EL,15904108,HW Schulze Elementary School
15904109,MORRILL EL,15904109,Morrill Elementary School
15904110,RAYBURN EL,15904110,Rayburn Elementary School
15904113,VESTAL EL,15904113,Vestal Elementary School
15904114,WRIGHT EL,15904114,Wright Elementary School
15904115,JEWEL C WIETZEL CENTER,15904115,Jewel C Wietzel Center
15904116,E H GILBERT EL,15904116,EH Gilbert Elementary School
15904117,COLLIER DAEP,15904117,Collier DAEP
15905002,JOHN F KENNEDY HIGH SCHOOL,15905002,John F Kennedy High School
15905003,MEMORIAL HIGH SCHOOL,15905003,Memorial High School
15905041,BRENTWOOD MIDDLE SCHOOL,15905041,Brentwood Middle School
15905042,ALTERNATIVE CENTER,15905042,Edgewood Alternative Center
15905044,E T WRENN MIDDLE SCHOOL,15905044,ET Wrenn Middle School
15905046,GUS GARCIA MIDDLE,15905046,Gus Garcia Middle School
15905104,ROY CISNEROS EL,15905104,Roy Cisneros Elementary School
15905106,ALONSO S PERALES ELEMENTARY SCHOOL,15905106,Alonso S Perales Elementary School
15905108,GARDENDALE EL,15905108,Gardendale Elementary School
15905109,L B JOHNSON ELEMENTARY SCHOOL,15905109,LB Johnson Elementary School
15905110,LAS PALMAS EL,15905110,Las Palmas Elementary School
15905112,LOMA PARK EL,15905112,Loma Park Elementary School
15905113,ROOSEVELT EL,15905113,Roosevelt Elementary School
15905114,STAFFORD EL,15905114,Stafford Elementary School
15905116,WINSTON EL,15905116,Winston Elementary School
15905117,H B GONZALEZ EL,15905117,HB Gonzalez Elementary School
15905118,CARDENAS CENTER,15905118,Cardenas Center
15905124,BURLESON CENTER,15905124,Burleson Center
