CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST
"008902102","008902","SELMAN EL","008","SEALY ISD","06","AUSTIN","E","EE - 03","N","N"," "," ","M","0","0","0","0"," "," ","0"
"008902103","008902","SELMAN INT","008","SEALY ISD","06","AUSTIN","E","04 - 05","N","N"," "," ","M","0","0","0","0","1"," ","0"
"008903001","008903","BRAZOS H S","008","BRAZOS ISD","06","AUSTIN","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","0","0"
"008903041","008903","BRAZOS MIDDLE","008","BRAZOS ISD","06","AUSTIN","M","06 - 08","N","N"," "," ","M","1","1","0","1","1","1","1"
"008903102","008903","BRAZOS EL","008","BRAZOS ISD","06","AUSTIN","E","PK - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"008903103","008903","PRAIRIE HARBOR ALTERNATIVE SCHOOL","008","BRAZOS ISD","06","AUSTIN","S","07 - 11","N","N"," "," ","X"," "," "," "," "," "," "," "
"009901001","009901","MULESHOE H S","009","MULESHOE ISD","17","BAILEY","S","09 - 12","N","N"," "," ","M","1","1","0","0","0","0","0"
"009901002","009901","P E P","009","MULESHOE ISD","17","BAILEY","S","09 - 12","N","N"," "," ","Z"," "," "," "," "," "," "," "
"009901041","009901","WATSON J H","009","MULESHOE ISD","17","BAILEY","M","06 - 08","N","N"," "," ","M","0","1","1","1","0","1","1"
"009901101","009901","MARY DESHAZO EL","009","MULESHOE ISD","17","BAILEY","E","03 - 05","N","N"," "," ","M","0","0","0","0","1"," ","0"
"009901103","009901","DILLMAN EL","009","MULESHOE ISD","17","BAILEY","E","EE - 02","N","N","009901101","MARY DESHAZO EL","M"," "," "," "," "," "," "," "
"010901001","010901","MEDINA SCHOOL","010","MEDINA ISD","20","BANDERA","B","EE - 12","N","N"," "," ","M","0","1","1","1","1","1","1"
"010902001","010902","BANDERA H S","010","BANDERA ISD","20","BANDERA","S","09 - 12","N","N"," "," ","M","0","1","1","1","1","1","1"
"010902041","010902","BANDERA MIDDLE","010","BANDERA ISD","20","BANDERA","M","06 - 08","N","N"," "," ","M","0","0","0","0","1","0","0"
"010902101","010902","ALKEK EL","010","BANDERA ISD","20","BANDERA","E","EE - 05","N","N"," "," ","M","1","0","0","0","0"," ","1"
"010902102","010902","HILL COUNTRY EL","010","BANDERA ISD","20","BANDERA","E","PK - 05","N","N"," "," ","M","0","0","0","0","0"," ","0"
"011901001","011901","BASTROP H S","011","BASTROP ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","0","0","0","0","0","1","1"
"011901002","011901","CEDAR CREEK H S","011","BASTROP ISD","13","BASTROP","S","09 - 12","N","N"," "," ","M","0","0","0","0","1","0","1"
"011901005","011901","COLORADO RIVER COLLEGIATE ACADEMY","011","BASTROP ISD","13","BASTROP","S","09 - 10","N","N"," "," ","M","1","1","1","1","1"," ","1"
"011901022","011901","GENESIS H S","011","BASTROP ISD","13","BASTROP","S","09 - 12","Y","N"," "," ","A"," "," "," "," "," "," "," "
"011901033","011901","GATEWAY SCH","011","BASTROP ISD","13","BASTROP","B","06 - 12","N","N"," "," ","X"," "," "," "," "," "," "," "
"011901041","011901","BASTROP MIDDLE","011","BASTROP ISD","13","BASTROP","M","07 - 08","N","N"," "," ","M","0","0","0","0","1","0","0"
"011901101","011901","EMILE EL","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","0","0","0"," "," ","0"
"011901102","011901","MINA EL","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","0","0","0"," "," ","0"
"011901103","011901","CEDAR CREEK EL","011","BASTROP ISD","13","BASTROP","E","PK - 04","N","N"," "," ","M","1","0","0","1"," "," ","0"
"011901104","011901","BASTROP INT","011","BASTROP ISD","13","BASTROP","M","05 - 06","N","N"," "," ","M","0","0","0","0","0"," ","0"
"011901106","011901","CEDAR CREEK MIDDLE","011","BASTROP ISD","13","BASTROP","M","07 - 08","N","N"," "," ","M","0","0","0","0","0","0","0"
"011901107","011901","RED ROCK EL","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","0","0","0"," "," ","0"
"011901108","011901","CEDAR CREEK INT","011","BASTROP ISD","13","BASTROP","M","05 - 06","N","N"," "," ","M","0","0","0","0","1"," ","0"
"011901109","011901","BLUEBONNET EL","011","BASTROP ISD","13","BASTROP","E","PK - 04","N","N"," "," ","M","0","0","0","1"," "," ","1"
"011901110","011901","LOST PINES EL","011","BASTROP ISD","13","BASTROP","E","EE - 04","N","N"," "," ","M","0","0","0","0"," "," ","0"
