DISTRICT,CNTYNAME,COUNTY,DA0GS18R,DAD_POST,DALL_UPDATE,DASC4X18R,DD1A,DD1AS,DD1B,DD1BS,DD1C,DD1CS,DD1G,DD1S,DD2A,DD2AG,DD2AS,DD2B,DD2BG,DD2BS,DD2G,DD2S,DD3,DD3G,DD3S,DDALLS,DFLALTED,DFLCHART,DFLNEWDIST,DFLRTF,DFLSCD,DISTNAME,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETECOP,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP,D_AEABONUS,D_AEABONUS_USED_PCT,D_AEAGRAD_PTS,D_AEASTAAR_PCT,D_AEASTAAR_PTS,D_APPEAL_DECISION,D_RATING,D_YRS_IR,REGION,REGNNAME
15807,BEXAR,15,62.1,0, ,64.2,29,55,30,61,96.4,90,D,64,60,F,58,30,D,60,D,60,18,D,62,63,N,Y,N,N,N,SOUTHWEST PREPARATORY SCHOOL,674,68.6,983,162,16.5,812,82.6,105,10.7,0,0,107,10.9,0,0,.,.,.,.,., ,D,.,20,REGION 20: SAN ANTONIO
15808,BEXAR,15,33.3, , ,66.7,44,75,.,.,49,40,C,75,66,C,70,44,C,77,C,77,47,C,75,76,N,Y,N,N,N,INSPIRE ACADEMIES,771,89.3,863,0,0,529,61.3,16,1.9,0,0,194,22.5,0,0,.,.,.,.,., ,C,.,20,REGION 20: SAN ANTONIO
15809,BEXAR,15,., , ,.,33,58,.,.,.,.,F,58,63,F,59,33,D,62,D,62,27,D,62,62,N,Y, ,N,Y,BEXAR COUNTY ACADEMY,.,.,349,0,0,328,94,76,21.8,.,.,33,9.5,.,.,.,.,.,.,., ,D,.,20,REGION 20: SAN ANTONIO
15814,BEXAR,15,., , ,.,27,77,13,78,48.3,60,C,74,46,D,68,.,Not Rated,.,D,68,0,F,30,64,Y,Y, ,N,Y,POSITIVE SOLUTIONS CHARTER SCHOOL,.,.,131,0,0,109,83.2,3,2.3,.,.,14,10.7,.,.,3,42,1,46,2, ,D,.,20,REGION 20: SAN ANTONIO
15815,BEXAR,15,87.5, , ,87.5,45,91,33,92,100,100,B,89,72,A,91,.,Not Rated,.,B,89,28,B,85,89,Y,Y,N,N,N,HERITAGE ACADEMY,488,76.9,635,0,0,427,67.2,222,35,0,0,46,7.2,0,0,9,88,4,65,5, ,B,.,20,REGION 20: SAN ANTONIO
15822,BEXAR,15,92.6,0, ,92.5,36,62,59,89,100,100,B,80,60,F,58,48,B,83,B,83,32,C,71,79,N,Y,N,N,N,JUBILEE ACADEMIES,4089,68.6,5957,0,0,4215,70.8,1316,22.1,0,0,412,6.9,0,0,.,.,.,.,., ,C,.,20,REGION 20: SAN ANTONIO
15825,BEXAR,15,., , ,.,36,62,.,.,.,.,D,62,72,B,84,36,C,75,B,84,15,D,60,77,N,Y,N,N,N,LIGHTHOUSE CHARTER SCHOOL,191,57.5,332,0,0,293,88.3,84,25.3,0,0,21,6.3,0,0,.,.,.,.,., ,C,.,20,REGION 20: SAN ANTONIO
15827,BEXAR,15,87.9,0, ,89.1,52,83,80,95,100,100,B,89,67,C,73,66,A,92,B,89,89,B,89,89,N,Y,N,N,N,SCHOOL OF SCIENCE AND TECHNOLOGY,1270,68.6,1851,0,0,958,51.8,314,17,0,0,131,7.1,348,18.8,.,.,.,.,., ,B,.,20,REGION 20: SAN ANTONIO
15828,BEXAR,15,97.6,0, ,98.1,47,79,92,98,100,100,B,89,67,C,73,70,A,94,A,94,83,B,87,92,N,Y,N,N,N,HARMONY SCIENCE ACAD (SAN ANTONIO),3602,79.8,4512,0,0,3673,81.4,1442,32,0,0,355,7.9,1690,37.5,.,.,.,.,., ,A,.,20,REGION 20: SAN ANTONIO
15830,BEXAR,15,97.9,0, ,97.8,36,62,53,80,99,95,C,76,56,F,56,45,B,80,B,80,48,C,75,79,N,Y,N,N,N,BROOKS ACADEMIES OF TEXAS,2413,72.6,3322,0,0,2363,71.1,288,8.7,0,0,222,6.7,321,9.7,.,.,.,.,., ,C,.,20,REGION 20: SAN ANTONIO
