DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPE0312P,DD2S,DDALLS
"003907","CENTRAL ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","C","D","C","C",75,69,75,74,75,929,1493,329,0,0,1110,5,22,0,0,74.3,75,75
"004901","ROCKPORT-FULTON ISD","004","ARANSAS","02","REGION 02: CORPUS CHRISTI","C","C","C","D","C","D",71,68,70,68,187,1841,2913,468,0,0,2202,6.4,16.1,0,0,75.6,70,70
"005901","ARCHER CITY ISD","005","ARCHER","09","REGION 09: WICHITA FALLS","A","A","A","B","A","A",94,89,92,95,6,206,483,81,0,0,356,1.2,16.8,0,0,73.7,92,94
"005902","HOLLIDAY ISD","005","ARCHER","09","REGION 09: WICHITA FALLS","A","A","B","B","C","A",91,89,75,92,16,229,1116,172,0,365,889,1.4,15.4,0,32.7,79.7,89,91
"005904","WINDTHORST ISD","005","ARCHER","09","REGION 09: WICHITA FALLS","A","A","A","B","A","A",93,87,91,91,38,230,505,53,0,27,370,7.5,10.5,0,5.3,73.3,91,92
"006902","CLAUDE ISD","006","ARMSTRONG","16","REGION 16: AMARILLO","A","A","B","B","B","A",95,81,88,93,2,81,297,37,0,0,229,0.7,12.5,0,0,77.1,88,94
"007901","CHARLOTTE ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","D","C","D","D","D","D",70,69,67,68,41,277,422,82,0,0,318,9.7,19.4,0,0,75.4,69,69
"007902","JOURDANTON ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","C","C","C","C","C","C",77,72,72,79,59,773,1548,316,0,0,1190,3.8,20.4,0,0,76.9,72,78
"007904","LYTLE ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","C","D","C","C","D","C",63,70,64,76,303,1316,1820,270,0,148,1352,16.6,14.8,0,8.1,74.3,70,72
"007905","PLEASANTON ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","C","C","C","D","C","C",73,69,73,75,232,2184,3392,601,0,0,2479,6.8,17.7,0,0,73.1,73,74
"007906","POTEET ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","C","D","C","C","D","C",62,72,64,73,219,1395,1836,358,105,19,1258,11.9,19.5,5.7,1,68.5,72,72
"008901","BELLVILLE ISD","008","AUSTIN","06","REGION 06: HUNTSVILLE","C","C","C","C","D","C",77,71,69,74,262,979,2306,340,0,58,1844,11.4,14.7,0,2.5,80,71,76
"008902","SEALY ISD","008","AUSTIN","06","REGION 06: HUNTSVILLE","C","C","C","C","C","C",75,72,76,73,696,2073,3091,591,0,0,2338,22.5,19.1,0,0,75.6,76,75
"008903","BRAZOS ISD","008","AUSTIN","06","REGION 06: HUNTSVILLE","B","B","B","C","B","B",82,77,83,87,163,485,866,154,0,0,689,18.8,17.8,0,0,79.6,83,84
"009901","MULESHOE ISD","009","BAILEY","17","REGION 17: LUBBOCK","B","C","B","C","B","C",75,72,82,77,460,1148,1328,203,0,0,929,34.6,15.3,0,0,70,82,81
"010901","MEDINA ISD","010","BANDERA","20","REGION 20: SAN ANTONIO","B","B","B","C","B","B",85,75,84,84,1,141,243,44,0,0,176,0.4,18.1,0,0,72.4,84,85
"010902","BANDERA ISD","010","BANDERA","20","REGION 20: SAN ANTONIO","C","C","C","C","D","C",72,72,69,74,154,1125,2210,442,0,0,1688,7,20,0,0,76.4,72,73
"011901","BASTROP ISD","011","BASTROP","13","REGION 13: AUSTIN","C","C","D","D","D","C",70,67,68,74,6106,8910,13281,1931,190,71,9984,46,14.5,1.4,0.5,75.2,68,71
"011902","ELGIN ISD","011","BASTROP","13","REGION 13: AUSTIN","D","D","D","D","D","D",64,60,67,63,2933,4752,5941,861,294,35,4405,49.4,14.5,4.9,0.6,74.1,67,66
"011904","SMITHVILLE ISD","011","BASTROP","13","REGION 13: AUSTIN","C","C","C","D","C","D",78,69,70,69,206,854,1842,347,0,0,1387,11.2,18.8,0,0,75.3,70,75
