Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
7,Kilgore,183,PANOLA,Female,117,110,0.94,104,0.89,4,0.03,93,0.79,23,0.20,54,0.46,77,0.66,6,0.05,41,0.35
7,Kilgore,183,PANOLA,Male,139,130,0.94,112,0.81,15,0.11,104,0.75,7,0.05,68,0.49,75,0.54,1,0.01,37,0.27
7,Kilgore,190,RAINS,Female,75,67,0.89,61,0.81,4,0.05,57,0.76,18,0.24,27,0.36,45,0.60,1,0.01,21,0.28
7,Kilgore,190,RAINS,Male,73,70,0.96,64,0.88,4,0.05,59,0.81,12,0.16,21,0.29,33,0.45,2,0.03,8,0.11
7,Kilgore,201,RUSK,Female,238,229,0.96,217,0.91,8,0.03,194,0.82,25,0.11,111,0.47,136,0.57,10,0.04,52,0.22
7,Kilgore,201,RUSK,Male,295,283,0.96,256,0.87,18,0.06,237,0.80,29,0.10,114,0.39,143,0.48,6,0.02,48,0.16
7,Kilgore,202,SABINE,Female,47,42,0.89,39,0.83,3,0.06,37,0.79,10,0.21,16,0.34,26,0.55, -   ,0.00,12,0.26
7,Kilgore,202,SABINE,Male,53,52,0.98,50,0.94,2,0.04,46,0.87,7,0.13,15,0.28,22,0.42, -   ,0.00,7,0.13
7,Kilgore,203,SAN AUGUSTINE,Female,50,49,0.98,48,0.96, -   ,0.00,40,0.80,8,0.16,20,0.40,28,0.56,2,0.04,8,0.16
7,Kilgore,203,SAN AUGUSTINE,Male,47,47,1.00,42,0.89,4,0.09,37,0.79,3,0.06,8,0.17,11,0.23,1,0.02,1,0.02
7,Kilgore,210,SHELBY,Female,184,167,0.91,153,0.83,15,0.08,143,0.78,31,0.17,73,0.40,104,0.57,3,0.02,53,0.29
7,Kilgore,210,SHELBY,Male,162,148,0.91,131,0.81,16,0.10,131,0.81,18,0.11,48,0.30,66,0.41,1,0.01,26,0.16
7,Kilgore,212,SMITH,Female,1158,1102,0.95,999,0.86,76,0.07,917,0.79,190,0.16,532,0.46,722,0.62,55,0.05,320,0.28
7,Kilgore,212,SMITH,Male,1269,1193,0.94,998,0.79,156,0.12,930,0.73,167,0.13,445,0.35,612,0.48,41,0.03,236,0.19
7,Kilgore,230,UPSHUR,Female,228,219,0.96,200,0.88,7,0.03,185,0.81,47,0.21,105,0.46,152,0.67,9,0.04,66,0.29
7,Kilgore,230,UPSHUR,Male,263,256,0.97,245,0.93,11,0.04,230,0.87,43,0.16,93,0.35,136,0.52,3,0.01,61,0.23
7,Kilgore,234,VAN ZANDT,Female,185,175,0.95,163,0.88,8,0.04,152,0.82,33,0.18,78,0.42,111,0.60,10,0.05,60,0.32
7,Kilgore,234,VAN ZANDT,Male,211,200,0.95,189,0.90,13,0.06,177,0.84,33,0.16,67,0.32,100,0.47,3,0.01,50,0.24
7,Kilgore,250,WOOD,Female,216,200,0.93,193,0.89,5,0.02,181,0.84,43,0.20,88,0.41,131,0.61,8,0.04,64,0.30
7,Kilgore,250,WOOD,Male,219,198,0.90,177,0.81,14,0.06,158,0.72,25,0.11,63,0.29,88,0.40,9,0.04,35,0.16
8,Mt. Pleasant,19,BOWIE,Female,657,615,0.94,578,0.88,16,0.02,526,0.80,95,0.14,264,0.40,359,0.55,22,0.03,144,0.22
8,Mt. Pleasant,19,BOWIE,Male,672,629,0.94,586,0.87,21,0.03,526,0.78,99,0.15,190,0.28,289,0.43,19,0.03,126,0.19
8,Mt. Pleasant,32,CAMP,Female,85,77,0.91,74,0.87,2,0.02,68,0.80,11,0.13,45,0.53,56,0.66,4,0.05,23,0.27
8,Mt. Pleasant,32,CAMP,Male,105,99,0.94,86,0.82,13,0.12,80,0.76,7,0.07,40,0.38,47,0.45,5,0.05,15,0.14
8,Mt. Pleasant,34,CASS,Female,208,193,0.93,185,0.89,3,0.01,165,0.79,44,0.21,82,0.39,126,0.61,7,0.03,58,0.28
8,Mt. Pleasant,34,CASS,Male,203,196,0.97,188,0.93,2,0.01,163,0.80,37,0.18,56,0.28,93,0.46,5,0.02,41,0.20
8,Mt. Pleasant,60,DELTA,Female,42,38,0.90,38,0.90,2,0.05,33,0.79,10,0.24,19,0.45,29,0.69,1,0.02,14,0.33
8,Mt. Pleasant,60,DELTA,Male,28,27,0.96,25,0.89,2,0.07,25,0.89,5,0.18,11,0.39,16,0.57,1,0.04,5,0.18
8,Mt. Pleasant,80,FRANKLIN,Female,57,52,0.91,52,0.91,2,0.04,49,0.86,8,0.14,28,0.49,36,0.63,1,0.02,22,0.39
8,Mt. Pleasant,80,FRANKLIN,Male,59,56,0.95,52,0.88,2,0.03,50,0.85,6,0.10,20,0.34,26,0.44, -   ,0.00,9,0.15
8,Mt. Pleasant,112,HOPKINS,Female,237,228,0.96,210,0.89,13,0.05,197,0.83,52,0.22,103,0.43,155,0.65,8,0.03,78,0.33
8,Mt. Pleasant,112,HOPKINS,Male,227,217,0.96,187,0.82,25,0.11,176,0.78,27,0.12,64,0.28,91,0.40,2,0.01,40,0.18
8,Mt. Pleasant,139,LAMAR,Female,321,302,0.94,286,0.89,10,0.03,257,0.80,53,0.17,162,0.50,215,0.67,19,0.06,97,0.30
8,Mt. Pleasant,139,LAMAR,Male,306,287,0.94,269,0.88,13,0.04,242,0.79,42,0.14,128,0.42,170,0.56,11,0.04,74,0.24
8,Mt. Pleasant,155,MARION,Female,41,38,0.93,36,0.88,2,0.05,32,0.78,5,0.12,14,0.34,19,0.46, -   ,0.00,7,0.17
8,Mt. Pleasant,155,MARION,Male,47,44,0.94,38,0.81,4,0.09,38,0.81,5,0.11,15,0.32,20,0.43, -   ,0.00,6,0.13
8,Mt. Pleasant,172,MORRIS,Female,89,85,0.96,82,0.92,1,0.01,65,0.73,9,0.10,44,0.49,53,0.60,5,0.06,20,0.22
8,Mt. Pleasant,172,MORRIS,Male,90,85,0.94,83,0.92,3,0.03,75,0.83,6,0.07,33,0.37,39,0.43,2,0.02,10,0.11
8,Mt. Pleasant,194,RED RIVER,Female,87,84,0.97,81,0.93, -   ,0.00,69,0.79,9,0.10,46,0.53,55,0.63,5,0.06,15,0.17
8,Mt. Pleasant,194,RED RIVER,Male,104,98,0.94,92,0.88,3,0.03,83,0.80,13,0.13,42,0.40,55,0.53,1,0.01,29,0.28
8,Mt. Pleasant,225,TITUS,Female,214,200,0.93,191,0.89,14,0.07,183,0.86,21,0.10,112,0.52,133,0.62,5,0.02,72,0.34
8,Mt. Pleasant,225,TITUS,Male,219,208,0.95,185,0.84,23,0.11,172,0.79,9,0.04,95,0.43,104,0.47,6,0.03,36,0.16
9,Wichita Falls,5,ARCHER,Female,56,55,0.98,53,0.95, -   ,0.00,54,0.96,24,0.43,18,0.32,42,0.75, -   ,0.00,31,0.55
9,Wichita Falls,5,ARCHER,Male,97,96,0.99,89,0.92,5,0.05,84,0.87,24,0.25,28,0.29,52,0.54,2,0.02,25,0.26
9,Wichita Falls,12,BAYLOR,Female,16,15,0.94,13,0.81, -   ,0.00,14,0.88,5,0.31,5,0.31,10,0.63, -   ,0.00,8,0.50
