CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"003902041","HUDSON MIDDLE","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","A","B","B","B","B","A",681,681,"M","06 - 08",50.8,"N","N","N","N","N"," ","N","N",58,88,,,,,79,89,89,,73,91,88,89,90,0,0,65,689,9.4,346,133,"06","08",66,9.7,19.5,0,0,100,"N","N","N","N"," "," ",,
"003902101","W F PEAVY PRI","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",680,0,"E","EE - 02",53.7,"N","N","N","N","N","003902102","N","Y",,,,,,,,,,,,,,,87,0,0,57,440,13,365,121,"EE","02",54,7.9,17.8,0,0,0,"N","N","N","N","W H BONNER EL"," ",,
"003902102","W H BONNER EL","003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","B","B","A",621,621,"E","03 - 05",52.5,"N","N","N","N","N"," ","Y","N",53,80,,,,,75,85,81,,75,90,80,85,87,0,0,61,640,9.5,326,155,"03","05",48,7.7,25,0,0,100,"N","N","N","N"," "," ",,
"003903001","LUFKIN H S","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","C","B","C",2022,2022,"S","09 - 12",84,"N","N","N","N","N"," ","N","N",44,72,96,97,96.9,80,68,70,88,,55,75,84,88,84,490,0,325,2243,14.5,1699,259,"09","12",408,20.2,12.8,24.2,0,100,"N","N","N","N"," "," ",,
"003903004","STUBBLEFIELD LRN CTR","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","C","B","Not Rated","B","Not Rated",56,56,"S","09 - 12",71.4,"N","N","N","Y","N"," ","N","N",34,84,27,77,68.4,55,,,88,57,,,75,88,88,0,0,82,93,88.2,40,8,"09","12",6,10.7,14.3,0,0,100,"N","N","N","Y"," ","DROPOUT RECOVERY SCHOOL",,
"003903044","LUFKIN MIDDLE","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","D","B","D",1453,1453,"M","06 - 08",87,"N","N","N","N","N"," ","N","N",40,72,,,,,57,64,82,,31,68,72,82,78,0,0,224,1612,13.9,1264,280,"06","08",346,23.8,19.3,0,0,100,"N","N","N","N"," "," ",,
"003903120","ANDERSON EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","C","C","C","C",246,246,"E","03 - 05",89,"N","N","N","N","N"," ","Y","N",41,70,,,,,65,73,77,,34,70,70,77,75,0,0,58,294,19.7,219,76,"03","05",30,12.2,30.9,0,0,100,"N","N","N","N"," "," ",,
"003903121","BRANDON EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","C","B","B","B","B",386,386,"E","03 - 05",78.2,"N","N","N","N","N"," ","Y","N",52,79,,,,,72,81,86,,71,88,79,86,87,0,0,61,412,14.8,302,77,"03","05",24,6.2,19.9,0,0,100,"N","N","N","N"," "," ",,
"003903122","BROOKHOLLOW EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","F","C","C","D","C",273,273,"E","03 - 05",93.4,"N","N","N","N","N"," ","Y","N",34,59,,,,,67,75,65,,49,76,59,75,75,0,0,58,279,20.8,255,65,"03","05",29,10.6,23.8,0,0,100,"N","N","N","N"," "," ",,
"003903123","COSTON EL","003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","D","F","D","D","F","D",211,211,"E","03 - 05",95.7,"N","N","N","N","N"," ","Y","N",30,56,,,,,62,69,58,,19,63,56,69,67,0,0,36,217,16.6,202,73,"03","05",44,20.9,34.6,0,0,100,"N","N","N","N"," "," ",,
